,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,190.27336764335632,10.103300463677817,0.1328052759170532,0.022664773978729992,linear,0.001,1e-07,0.01,"{'activ': 'linear', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.01}",-0.13397934470936995,-0.17985466654936721,-0.26436924879739593,-0.26397746510620473,-0.1859141657889825,-0.17607241763416767,-0.29112174942241076,-0.5261026028238223,-0.17620083176371273,-0.388225344381819,-0.2585817836977253,0.11405920620050229,81
1,188.1088039159775,17.551023617932245,0.12047924995422363,0.026699728090821162,linear,0.001,1e-07,0.05,"{'activ': 'linear', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.05}",-0.1280851271385241,-0.18077531869333432,-0.27008614743697884,-0.2688981507192256,-0.20823376975478128,-0.18245467101339835,-0.29982666643294115,-0.5242322208791881,-0.1838732501070599,-0.38960438152283927,-0.2636069703698271,0.11243634520233504,89
2,179.4051311969757,19.48412311147162,0.11955132484436035,0.017523592085271572,linear,0.001,1e-07,0.1,"{'activ': 'linear', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.1513476443058278,-0.1841732529058378,-0.26225449411743046,-0.2700289098493509,-0.20934282098441184,-0.17805790131292992,-0.29035342268220815,-0.5341054064433842,-0.17830669186913714,-0.3738240749424668,-0.2631794619412985,0.11069104752862996,88
3,177.17936148643494,21.163115901870277,0.1341839075088501,0.019401601388253673,linear,0.001,0.1,0.01,"{'activ': 'linear', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.01}",-0.13171254444986116,-0.17896599822466608,-0.26452838192401595,-0.2637069514375605,-0.18326193456770773,-0.17559332025845584,-0.28871367759400113,-0.5239645848501647,-0.17494404142350853,-0.38733155776618644,-0.25727229924961276,0.11399423766714314,77
4,182.03068647384643,17.005136724698062,0.12120771408081055,0.011016149823233972,linear,0.001,0.1,0.05,"{'activ': 'linear', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.05}",-0.13371703726751616,-0.18397017019807918,-0.2621232920916005,-0.2634019276351031,-0.18937534209676235,-0.18183268654392357,-0.29295771489426764,-0.5256038338925288,-0.177099809365738,-0.38820228347578634,-0.25982840974613064,0.11304050362013877,84
5,191.24904186725615,17.36490175625973,0.1289508819580078,0.027463094615336272,linear,0.001,0.1,0.1,"{'activ': 'linear', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.1}",-0.13572175752023338,-0.17981059645602185,-0.2745274693020955,-0.25980772069762553,-0.1882781781740904,-0.1813160210258182,-0.2935739118389605,-0.5239359935387669,-0.18061102408756985,-0.3885236842020378,-0.26061063568432197,0.1127068449486788,86
6,181.9551578760147,20.497009121848638,0.14754884243011473,0.028246099317740504,linear,0.005,1e-07,0.01,"{'activ': 'linear', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.1309050683612161,-0.17901824908537464,-0.2650127586881113,-0.26389737810470826,-0.18012266507120434,-0.17519241777376035,-0.2883110570494337,-0.522999089375666,-0.17404340103030808,-0.386816562340566,-0.2566318646880349,0.11408950359229734,75
7,179.9408709526062,18.556253589973732,0.14500026702880858,0.03427178440503625,linear,0.005,1e-07,0.05,"{'activ': 'linear', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.13151162777978506,-0.1800155071946687,-0.2647655800598831,-0.26388686853923526,-0.18941913220869483,-0.17864209342108422,-0.29149502970702956,-0.5269400497588819,-0.1765176333920376,-0.3872954810158833,-0.2590489003077184,0.113999426938629,83
8,184.87030017375946,23.752358510187427,0.14378762245178223,0.029830768688910353,linear,0.005,1e-07,0.1,"{'activ': 'linear', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.1}",-0.13209218228768704,-0.1804729855252815,-0.26703328078962313,-0.26017043394771583,-0.19951743708079087,-0.1770200293574774,-0.2906727392104076,-0.5274191636691148,-0.18000178709666376,-0.38961461126770586,-0.26040146502324674,0.11354741023159012,85
9,179.0544278383255,29.735066933744204,0.13281280994415284,0.030575388209355316,linear,0.005,0.1,0.01,"{'activ': 'linear', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.01}",-0.12901311102047905,-0.17752463551972117,-0.26559181363647577,-0.2682505086567561,-0.17309074512287612,-0.17280334593213717,-0.28622248550567075,-0.5203969936770735,-0.17145858875415948,-0.3861136404161518,-0.2550465868241501,0.11454634302897737,72
