,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_b_1,param_b_2,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,73.29812989234924,7.538495073375029,0.14535765647888182,0.03419900112319107,0.9,0.99,0.01,0.0001,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.0001, 'l_r': 0.05}",-0.09839908252337663,-0.12742026391124536,-0.2401231329170767,-0.2347757104091517,-0.11294354267133486,-0.16273234648643706,0.06171582799076795,26
150,73.06338357925415,7.646234563632166,0.12522621154785157,0.02255722689645524,0.9,0.99,0.01,0.001,0.005,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.005}",-0.14513812597829076,-0.1508222997414462,-0.2548378560824185,-0.2379267570811474,-0.17103270199462609,-0.1919515481755858,0.04558314876395667,306
151,69.2420395374298,6.551863790896544,0.12515883445739745,0.013695125269054621,0.9,0.99,0.01,0.001,0.01,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.01}",-0.09702247665424388,-0.1341368779493435,-0.23948340324829237,-0.24236292754015124,-0.13230369270487607,-0.1690618756193814,0.060154518106236225,187
152,72.89255623817444,7.790736713309889,0.1291215419769287,0.016743550621672272,0.9,0.99,0.01,0.001,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.05}",-0.09505066672433705,-0.12948299305982935,-0.24645952335531676,-0.23700606443117456,-0.1260693648930167,-0.16681372249273488,0.06240839794654174,133
153,68.04506525993347,0.4908732695233498,0.14798555374145508,0.030783441394254814,0.9,0.99,0.01,0.1,0.005,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.005}",-0.13792965488881415,-0.1609343223502242,-0.2870886523990671,-0.27401450270967953,-0.22638205555443022,-0.21726983758044302,0.05940742597606335,324
154,74.45973176956177,6.488360379510934,0.14113211631774902,0.027464458645819884,0.9,0.99,0.01,0.1,0.01,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.01}",-0.14044283663588178,-0.1323703851364873,-0.2560968654958886,-0.2318278887961734,-0.1513274702633183,-0.18241308926554986,0.05119220906214793,269
155,77.29743485450744,6.232930575679353,0.12048163414001464,0.0120454172351231,0.9,0.99,0.01,0.1,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.05}",-0.09500757306068709,-0.1278368717848086,-0.24187315962502307,-0.22970461531604364,-0.12192618172504598,-0.16326968030232167,0.060359906611969126,34
156,69.4370466709137,6.579498761001478,0.1257840633392334,0.019218711116949772,0.9,0.99,0.005,1e-07,0.005,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.005}",-0.0927720454052968,-0.14090671412881206,-0.2474899158062189,-0.24311924171783955,-0.16711950134688933,-0.17828148368101132,0.059711086453701774,258
157,75.52851281166076,8.348962115555718,0.13191370964050292,0.022208958799961855,0.9,0.99,0.005,1e-07,0.01,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.09972707283097101,-0.13199394789234475,-0.24537044474603062,-0.23660653907719742,-0.11087030785013362,-0.16491366247933548,0.06303466605866571,70
158,67.83787379264831,0.46703575364896893,0.11187057495117188,0.01450455997224198,0.9,0.99,0.005,1e-07,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.0947558863832962,-0.13046931809943382,-0.24031856614189406,-0.23827650189281827,-0.11858056637097796,-0.16448016777768407,0.06216485874893619,62
159,72.35382022857667,8.255120384415662,0.16354880332946778,0.025567472927692344,0.9,0.99,0.005,0.0001,0.005,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.005}",-0.09926559168385853,-0.13132557550619742,-0.2541344411131388,-0.23453229558532337,-0.12044187962116196,-0.167939956701936,0.06352460529311008,164
160,72.15676598548889,5.1028747317781145,0.13772506713867189,0.015257988221342325,0.9,0.99,0.005,0.0001,0.01,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.01}",-0.08935198629400976,-0.129971753124703,-0.24519783904235973,-0.24150850883046746,-0.11631614884481958,-0.1644692472272719,0.06573211427927048,60
161,74.2346616268158,6.749506448723346,0.1288677215576172,0.010927585254856539,0.9,0.99,0.005,0.0001,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.05}",-0.10171487746092099,-0.12681588544021144,-0.2456565565888464,-0.24716262300242273,-0.1134983766542703,-0.16696966382933437,0.06534864865955806,140
162,71.46348490715027,5.5843427856908345,0.14369335174560546,0.022846996635026377,0.9,0.99,0.005,0.001,0.005,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.005}",-0.10064403131345559,-0.1343367108607339,-0.24905709162134892,-0.24214047433263172,-0.11928008483434142,-0.16909167859250232,0.06341100363936576,188
163,71.48234696388245,5.454959868219027,0.12261962890625,0.012156997158050655,0.9,0.99,0.005,0.001,0.01,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.01}",-0.08948895942092037,-0.12975005990296953,-0.24395901231094433,-0.2407172414784197,-0.1172034137689926,-0.1642237373764493,0.06510545683033848,57
164,74.82399430274964,6.209864146610611,0.1391329288482666,0.01598908307675303,0.9,0.99,0.005,0.001,0.05,"{'b_1': 0.9, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.05}",-0.10743682003852435,-0.12964921130523127,-0.24278905600261136,-0.2366768122052217,-0.13074958485424473,-0.16946029688116668,0.05800951695474683,195
