,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,94.22589936256409,24.107216589716682,0.1646897792816162,0.022358977337892893,0.005,1e-07,0.01,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.09867359517297666,-0.13337219346958742,-0.25583039056957835,-0.2370271723377579,-0.13077212605415445,-0.17113509552081096,0.06296178825097638,22
1,82.01128540039062,0.8195829473337745,0.17041163444519042,0.042434179568494886,0.005,1e-07,0.05,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.11168691266054032,-0.1299972049600677,-0.23387915451014732,-0.23119926414174438,-0.12066453192248665,-0.16548541363899727,0.055061087963935364,8
2,79.89661812782288,4.756068921214785,0.1295475959777832,0.03135185261077419,0.005,1e-07,0.1,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.1}",-0.10714181253871731,-0.13281741478779419,-0.2522811685406291,-0.23357183945908908,-0.13261977801846309,-0.17168640266893856,0.059208659954746945,27
3,75.49688115119935,5.585005668372861,0.10820732116699219,0.017779277209914582,0.005,1e-07,0.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.5}",-0.10215820367011212,-0.13019781737428213,-0.23685797796757907,-0.24391895470721092,-0.12327567701107915,-0.16728172614605266,0.060443265049142915,12
4,74.16735491752624,7.113563591915658,0.12043428421020508,0.03183082321609142,0.005,0.0001,0.01,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.01}",-0.09431632968665793,-0.13177500071762036,-0.23804702461294833,-0.24023456245926778,-0.11108690025455029,-0.16309196354620892,0.06322121214930845,4
5,68.61859278678894,6.849806566692574,0.12830567359924316,0.015120491511579192,0.005,0.0001,0.05,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.05}",-0.10635026962454293,-0.1300806255417796,-0.24503381331743884,-0.23460739467599556,-0.118819771430222,-0.1669783749179958,0.06003798452239026,11
6,70.60774335861205,0.4801565152534617,0.11024684906005859,0.006825568553322837,0.005,0.0001,0.1,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.1}",-0.11309653463128821,-0.1266147869146549,-0.24577504732592412,-0.23786320549849052,-0.12369395952229097,-0.16940870677852976,0.059346532821319596,18
7,74.19180669784546,4.0892839126860085,0.14191246032714844,0.01643309443429364,0.005,0.0001,0.5,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.5}",-0.10747843481790867,-0.13721562364153375,-0.24554753078732977,-0.22923006582186978,-0.11314406427383225,-0.16652314386849484,0.058943271602210565,10
8,76.52649898529053,4.758901852972058,0.1216385841369629,0.019224075357283852,0.005,0.1,0.01,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.01}",-0.09863282128768308,-0.1365398183338413,-0.24484330578202804,-0.2411580862453917,-0.14210755217049773,-0.17265631676388837,0.05936423193329096,33
9,75.71034255027772,5.476555204050121,0.13554806709289552,0.026275822829115274,0.005,0.1,0.05,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.05}",-0.09612450399053749,-0.12951201173478022,-0.2383254568356695,-0.243196893405681,-0.11413365975127973,-0.16425850514358958,0.063370724340675,5
10,74.88022227287293,6.132459637732003,0.13234033584594726,0.013661931592498707,0.005,0.1,0.1,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.1}",-0.1367092190580014,-0.13057599990019395,-0.23695136367577452,-0.2394210184785982,-0.12223928715222052,-0.1731793776529577,0.05328195616656121,36
11,73.20336208343505,4.553404670703488,0.12881665229797362,0.03346353812015146,0.005,0.1,0.5,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.5}",-0.1373151632837339,-0.12428792471790416,-0.2451845911176274,-0.2331583419251464,-0.11627277354538466,-0.17124375891795932,0.05599727038936629,23
12,74.45795001983643,6.491319386128525,0.1261880874633789,0.02757292772317003,0.001,1e-07,0.01,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01}",-0.10580509633652863,-0.12573789778579753,-0.2349588882909398,-0.24337950863435362,-0.11492473190833043,-0.16496122459119,0.06097649985275309,7
13,74.51038451194763,6.384399950407618,0.12210140228271485,0.010286627492123925,0.001,1e-07,0.05,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05}",-0.10245570836504787,-0.13520877645683257,-0.2520289779323955,-0.2363320348815107,-0.1319700832847833,-0.171599116184114,0.06055549742635813,26
14,79.50149359703065,5.749737917323079,0.10573182106018067,0.009167830971687083,0.001,1e-07,0.1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.10449850313283897,-0.1263900806790407,-0.2495909528267071,-0.22892583917456724,-0.15365360130168626,-0.17261179542296806,0.05697779009939998,32
15,72.99829039573669,7.859181881763501,0.10850996971130371,0.013274943844506483,0.001,1e-07,0.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.5}",-0.0985601223260797,-0.14310816549391545,-0.23247432934771797,-0.2592313346602375,-0.11348223486929919,-0.16937123733944998,0.06462875654198265,17
16,69.05639085769653,6.932193785342885,0.1499701976776123,0.044125597889428235,0.001,0.0001,0.01,"{'d_c': 0.001, 'eps': 0.0001, 'l_r': 0.01}",-0.18994169983566264,-0.13070957442091757,-0.2347952757690052,-0.24160434485754206,-0.12149953213284886,-0.18371008540319528,0.05035768476309915,51
