,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,19.644595074653626,1.234703744094462,0.1535010814666748,0.02676850776559054,0.001,1e-07,0.01,-0.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01, 'reg': -0.5}",-0.1138691064811793,-0.1620259819623421,-0.23570950811721844,-0.27284137451975127,-0.13277936665266582,-0.14217006995014422,-0.2665565945180396,-0.5142045519010771,-0.16243533636417876,-0.3671854716553456,-0.23697773621219417,0.11922556054616183,64
1,18.263207530975343,1.054188102548853,0.14535489082336425,0.02027358493851342,0.001,1e-07,0.01,-1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01, 'reg': -1}",-0.08739387832931647,-0.1573320494256937,-0.22563462459264727,-0.2400702117098904,-0.10523584132603411,-0.10934432247847042,-0.2480262894057045,-0.4917825384718011,-0.15842983386835383,-0.3352047932508431,-0.2158454382858755,0.11785726793079303,34
2,18.89733428955078,1.750519620345995,0.16472055912017822,0.03553286543157126,0.001,1e-07,0.01,-1.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01, 'reg': -1.5}",-0.08330307459294813,-0.15664171668844667,-0.21131357607728804,-0.2263588297223644,-0.09889373132543904,-0.10244882305090505,-0.2424369651777956,-0.49767676231797037,-0.14682544301245926,-0.35079526598463284,-0.21166941879502493,0.12275054010890979,2
3,18.937626600265503,1.7040102632829128,0.12857582569122314,0.033696886965292716,0.001,1e-07,0.01,-2,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01, 'reg': -2}",-0.07773520170737043,-0.16947361812708864,-0.21231167236049106,-0.21804957787353504,-0.10283888634489688,-0.10576507132593715,-0.2425492545037739,-0.5136083125564385,-0.1727638508030783,-0.3432265113473401,-0.21583219569499498,0.12393065768900886,33
4,18.405558228492737,1.3283332471844798,0.13475437164306642,0.02269668253383764,0.001,1e-07,0.05,-0.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05, 'reg': -0.5}",-0.10247924665890368,-0.16350438888189375,-0.24205024902261033,-0.27479464702742645,-0.17025763643012665,-0.172410185656464,-0.2685578761349732,-0.493469420398699,-0.15980519538145632,-0.3577048278538546,-0.24050336734464084,0.10988911963867373,69
5,19.157532501220704,1.2511207280825984,0.15233945846557617,0.030142491075169843,0.001,1e-07,0.05,-1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05, 'reg': -1}",-0.09313270923635125,-0.15284265840690262,-0.22118991887910705,-0.24035557262657858,-0.1232276247077964,-0.10855150303387454,-0.25058412348951437,-0.4922661507600804,-0.16370515323787593,-0.33775193942076576,-0.2183607353798847,0.1161373522682803,46
6,18.084185314178466,0.3956197253343412,0.15552105903625488,0.02914398700296838,0.001,1e-07,0.05,-1.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05, 'reg': -1.5}",-0.08236011739077598,-0.1546882226576718,-0.21216657330743124,-0.23462168716315654,-0.10897822116452832,-0.1100208404611806,-0.2564878818334325,-0.49575183008288864,-0.1506632814285962,-0.33651753991794864,-0.21422561954076103,0.11971954436550893,18
7,19.283587884902953,1.225330743099637,0.13930208683013917,0.02089300193246411,0.001,1e-07,0.05,-2,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05, 'reg': -2}",-0.09347612043767245,-0.1678656802380338,-0.22322028910025052,-0.2312436547162408,-0.10414609534778119,-0.10231031844782153,-0.2464592788416852,-0.501478445776738,-0.14736930301692588,-0.3580865021409982,-0.21756556880641473,0.12261733251704719,44
8,18.690832757949828,1.5801516169191905,0.1381995677947998,0.02543370526076438,0.001,1e-07,0.1,-0.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1, 'reg': -0.5}",-0.11189142283778909,-0.16934168119830015,-0.23819276252205934,-0.227042027955165,-0.1535892595152748,-0.1339231568573662,-0.2697628130982806,-0.5380491606421894,-0.18332715497299448,-0.3502284144843548,-0.2375347854083774,0.12054673887080053,66
9,18.861276197433472,1.1177652971287861,0.1472836971282959,0.01890235303769976,0.001,1e-07,0.1,-1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1}",-0.07939679524646176,-0.1556482987108458,-0.23799841212724243,-0.2618223711693672,-0.10581204838174374,-0.1162055665958915,-0.2488410817784661,-0.46994628549333184,-0.14581978275911078,-0.3400861878023659,-0.2161576830064827,0.11527200253211863,38
10,18.963877701759337,1.43562216074099,0.13098838329315185,0.016405243640878777,0.001,1e-07,0.1,-1.5,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1.5}",-0.08636344234588532,-0.17375185324575868,-0.23344172283829892,-0.24751190599383394,-0.11582492018318576,-0.10986041792779781,-0.2491841189843879,-0.5159350288764843,-0.2367953734801594,-0.33447037293129117,-0.2303139156807083,0.12027860021537387,55
11,19.099013447761536,1.5898290966695756,0.1358020305633545,0.019673568899296483,0.001,1e-07,0.1,-2,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1, 'reg': -2}",-0.08478282097222077,-0.15160064939726298,-0.22656601419659142,-0.22702857289796247,-0.11230943193621398,-0.10169087464088623,-0.25042084591831226,-0.48681300216129414,-0.16648095172737126,-0.3305352988808856,-0.21382284627290016,0.11638915420836203,16
12,18.353096628189085,2.1974900301124256,0.1415724754333496,0.022153632411622857,0.001,0.1,0.01,-0.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01, 'reg': -0.5}",-0.10089555552125387,-0.15622674037654233,-0.23296515220219605,-0.26056146369936495,-0.1273607506363579,-0.13231230475671577,-0.26698928911758063,-0.49914800865347536,-0.15569707240637023,-0.3580883929335499,-0.22902447303034065,0.11783796116646611,53
13,19.614101600646972,1.2440391996094264,0.15095288753509523,0.012670005550430111,0.001,0.1,0.01,-1,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01, 'reg': -1}",-0.08715518211172153,-0.15237501828223904,-0.21922455895487314,-0.2429410873525784,-0.09877321698169564,-0.10476030199383533,-0.244362900189744,-0.4947728033566898,-0.16364808324141036,-0.33646491907566334,-0.21444780715404507,0.11968662887774065,21
14,19.24068374633789,1.4424999341878066,0.14348866939544677,0.022541221424200265,0.001,0.1,0.01,-1.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01, 'reg': -1.5}",-0.08482922173397389,-0.1554390661161886,-0.21194220963257637,-0.23035287197496424,-0.10043600517679224,-0.10509698720017072,-0.24388815115534412,-0.49372926990915705,-0.14974638793981568,-0.3370910525399355,-0.21125512233789187,0.11978694726182453,1
