,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,192.52912423610687,10.563557152531327,0.14672324657440186,0.0475282658655616,tanh,1,3,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 3}",-0.08604304403102875,-0.15338478365591898,-0.22110451453231078,-0.23937523884481895,-0.10307563977445619,-0.10782349474708205,-0.2492803823397301,-0.49667828853159235,-0.15544978255484695,-0.3406425847222644,-0.21528577537340493,0.12038309187577602,12
1,184.6462564945221,15.413279004647979,0.12309226989746094,0.012290500579890486,tanh,1,5,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 5}",-0.0850449482656238,-0.15404889942890845,-0.2208487176607945,-0.23998617760682545,-0.10234785498501557,-0.10587626802211214,-0.24872250856026093,-0.49614944631197977,-0.15553401043211007,-0.3398492836975419,-0.21484081149711726,0.12048480246465072,8
2,186.3654536485672,17.065518077152703,0.11452507972717285,0.009187613444260547,tanh,1,7,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 7}",-0.08457078549673785,-0.15349104103454572,-0.22153901504177773,-0.23983866032795098,-0.10298514400921145,-0.10689332145089457,-0.24871041214337739,-0.4969345344245806,-0.15578100571819403,-0.34020003944962524,-0.21509439590968954,0.12062112391586,10
3,180.27868950366974,18.430266123759175,0.1243966817855835,0.01833681888722429,tanh,1,10,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 10}",-0.08523317725360796,-0.1557042899407543,-0.22181465596664923,-0.23986282775551432,-0.10174573446613104,-0.10655250796192332,-0.248702099993195,-0.49580328993856454,-0.15654071054226204,-0.3402573515068198,-0.21522166453254216,0.12029136166452778,11
4,206.5809452533722,19.046748634491404,0.16589057445526123,0.024064141896175294,tanh,1,13,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 13}",-0.08473711166989273,-0.1544229252917374,-0.22119881494150936,-0.23952122295769776,-0.10236800683992135,-0.1066483925893608,-0.24730157995205707,-0.4966539941407231,-0.15668053431612783,-0.34050789279369176,-0.21500404754927196,0.12051120694780802,9
5,220.15712628364562,28.228663405856732,0.13082804679870605,0.02503041976099441,tanh,1,15,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 15}",-0.08474318674285283,-0.15382365276717788,-0.22077946526114417,-0.2400411370475762,-0.10248572212811635,-0.10617752970332893,-0.24803231843155543,-0.49613345632604955,-0.15575715712151605,-0.3399366412103634,-0.21479102667396804,0.12046461421016384,7
6,191.4631480693817,11.376036097958877,0.15668129920959473,0.034265731915666835,tanh,2,3,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 3}",-0.08355878485949679,-0.1559123604592301,-0.22204584974182237,-0.23848395032911446,-0.09939361166593126,-0.10550563829535553,-0.24762795836111431,-0.49590975037095586,-0.1566631787551557,-0.33657719478563514,-0.21416782776238116,0.12036414740003169,2
7,198.0360454082489,7.697338736403218,0.1728691577911377,0.0275384532218254,tanh,2,5,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 5}",-0.0836635559838517,-0.15524100771501784,-0.22165906801250304,-0.24205941423855756,-0.09940727071889036,-0.10611878815572236,-0.24829661751915738,-0.4963013342303924,-0.15640133232695289,-0.33617597865014576,-0.21453243675511913,0.12048572197808334,4
8,195.61356148719787,8.68186337160818,0.18800537586212157,0.03036334623836617,tanh,2,7,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 7}",-0.08341485890177769,-0.15494131828384616,-0.2185800463052572,-0.2385384036915535,-0.09929151777561576,-0.10548027062751258,-0.2476574441222745,-0.49390868000327004,-0.1564365461476119,-0.33528061488664385,-0.21335297007453632,0.1198324370003178,1
9,239.55458862781524,23.235712829849344,0.15267114639282225,0.014441094952806603,tanh,2,10,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 10}",-0.08405335663880786,-0.157479643992543,-0.22292055342426165,-0.23947765898421436,-0.09950940400778405,-0.10611292585437923,-0.2484788158032097,-0.4951801519296107,-0.1573205310054393,-0.33636683046418137,-0.21468998721044308,0.11999566435555786,6
10,230.46567907333375,32.79921952125336,0.15005676746368407,0.022701450442183507,tanh,2,13,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 13}",-0.0835749718104877,-0.15341353513259465,-0.22197009942520496,-0.23996788339907033,-0.09943410891394669,-0.10634731595783896,-0.24831418791339194,-0.49565004266574775,-0.1579550040047897,-0.3356038368825887,-0.21422309861056613,0.12023558206903881,3
11,234.69977326393126,27.91384419627104,0.14228601455688478,0.017495187234316603,tanh,2,15,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 15}",-0.08380763166244626,-0.15647231416828336,-0.2216728478827851,-0.24109809792139564,-0.09926114985207317,-0.10609409075173988,-0.24901378300436966,-0.49580944173963826,-0.15814096926367838,-0.33534213207494484,-0.21467124583213545,0.12014304847786773,5
12,211.81941123008727,26.149815146756584,0.16035277843475343,0.022229013541894875,tanh,3,3,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 3}",-0.6143375297587964,-0.15957601323778423,-1.0043404786282568,-0.23832798170471564,-0.10134496372224154,-0.10730379418215986,-0.24865256083894205,-0.4929308164861715,-0.1564046635911593,-0.33381976757159293,-0.34570385697218203,0.2712481168371698,31
