,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,371.7797067403793,10.964034166779891,0.14558024406433107,0.03159059010278062,tanh,1,3,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 3}",-0.0858986990892894,-0.15378251368794585,-0.22142090705841652,-0.23981493577315624,-0.10371288547668864,-0.10765728357723213,-0.24921571011206936,-0.4969285291241371,-0.15519320466797012,-0.34078996184726545,-0.21544146304141706,0.1204290018915101,15
1,366.0849104642868,14.640506832189702,0.12264451980590821,0.012553152163201148,tanh,1,5,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 5}",-0.0854175858708784,-0.15370836913556118,-0.22162074072242155,-0.24028502987625572,-0.10347777382497651,-0.10758359532263422,-0.24899827658799856,-0.49667018625062065,-0.15537370821022856,-0.3401494394198899,-0.21532847052214654,0.12038168402968992,13
2,362.0819416761398,11.304681843828067,0.12790286540985107,0.022664222827690823,tanh,1,7,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 7}",-0.08523131127674075,-0.15369250834537002,-0.22109240553310808,-0.24032172435303215,-0.10279544026579474,-0.10715817437714935,-0.24896354652747982,-0.49669919720628886,-0.15601825195903463,-0.34037890055507997,-0.21523514603990784,0.12050007194325786,10
3,376.09052734375,10.7579293164647,0.13945136070251465,0.024181183077259288,tanh,1,10,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 10}",-0.08537482454196436,-0.15349075663375422,-0.22176952141160702,-0.24042229469265233,-0.10235255013635201,-0.10700746404728577,-0.24903495786127627,-0.4963230560191186,-0.15542023872464591,-0.34013427264402224,-0.21513299367126787,0.12047374231634207,8
4,422.3998445749283,21.2031895775935,0.15971918106079103,0.03437136341046025,tanh,1,13,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 13}",-0.08509012028518599,-0.15416455463194384,-0.22166168509208603,-0.240789245287423,-0.10193262746949121,-0.1070723213706042,-0.24911333348337802,-0.4966277361990089,-0.15527021998556692,-0.3401901446063899,-0.2151911988411078,0.12059741319853874,9
5,417.47579329013826,20.819755918903965,0.1822591781616211,0.02318013430612703,tanh,1,15,"{'activ': 'tanh', 'n_layer': 1, 'n_neur': 15}",-0.085644603056657,-0.15386258209653195,-0.22151672826719646,-0.2407512723338412,-0.10259850964492809,-0.10688686762053806,-0.24888209688317067,-0.4967001268252851,-0.15598283090225754,-0.34005822848128175,-0.21528838461116878,0.12046719712530225,12
6,391.6929930210114,26.785781866517187,0.168062424659729,0.02636958756974881,tanh,2,3,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 3}",-0.08358207835731989,-0.1558478619689597,-0.22005338983404502,-0.24045483691579517,-0.09950567829457634,-0.10556087976594078,-0.24783228744129804,-0.4968437494202558,-0.15699806638448216,-0.33574165765921127,-0.2142420486041884,0.1205030604995969,2
7,398.9161494255066,28.818897548022573,0.1565185308456421,0.02749332237876948,tanh,2,5,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 5}",-0.08326225476417101,-0.1552583578982079,-0.21996235512170753,-0.23956324675213833,-0.09935277624074082,-0.10580707563146576,-0.24757345824146046,-0.4954163576259653,-0.15713347904975247,-0.3364555947488912,-0.2139784956074501,0.12026353367170346,1
8,402.3585174560547,26.610957043389238,0.15719869136810302,0.026952610347128095,tanh,2,7,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 7}",-0.08332313413115754,-0.15534105092186767,-0.22185250966190453,-0.24013247989701728,-0.09949243009289557,-0.10582475634406471,-0.24823636690792547,-0.4953858505908765,-0.15764013544074082,-0.335443422034296,-0.2142672136022746,0.12014578714591494,3
9,457.91346118450167,30.441962452425095,0.18721399307250977,0.03400457831536513,tanh,2,10,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 10}",-0.08348833943688162,-0.15611214463259643,-0.22079290526007714,-0.24117961636336596,-0.09933725536114756,-0.1057844036321916,-0.24752514217408042,-0.4945881282870038,-0.1577585678613025,-0.3367212231119112,-0.21432877261205582,0.12004310976688938,5
10,466.1371776103973,29.925606525381255,0.200537371635437,0.029368702332534972,tanh,2,13,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 13}",-0.08328057611933498,-0.15605927584197035,-0.22192631989931141,-0.23984134220049005,-0.0993446521393219,-0.10567257542915104,-0.24744383170671563,-0.4951373014049702,-0.15893586490040418,-0.33563055594475766,-0.21432722955864278,0.12001567770882189,4
11,472.4470512866974,24.861303390512735,0.1700275182723999,0.028463560028061503,tanh,2,15,"{'activ': 'tanh', 'n_layer': 2, 'n_neur': 15}",-0.08337278051945746,-0.15686427219327137,-0.22142147605409726,-0.2406800209319123,-0.0993037212991773,-0.10601518368304215,-0.24738778634398115,-0.4953260822393945,-0.15821217193054327,-0.3352704947131927,-0.21438539899080694,0.11999469102330389,6
12,431.1149008512497,14.422937224509932,0.17932493686676027,0.012952097422307155,tanh,3,3,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 3}",-0.08457715973265374,-0.15823867099615543,-0.22226965640245291,-0.2389237434462162,-0.8693000604736305,-0.10701599413234707,-0.2487408688885691,-0.4949271670063349,-0.16141105987482537,-0.3337989828490685,-0.29192033638022535,0.22314603518776374,31
13,424.3724404335022,23.691300416972737,0.19402265548706055,0.03370063793889521,tanh,3,5,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 5}",-0.0854366999250495,-0.15755173862450994,-0.2206773317262128,-0.24041644488496433,-0.10010487781109705,-0.10728010931138272,-0.6860250682389146,-0.49541995292831165,-0.15875021161378705,-0.33438076711631814,-0.2586043202180548,0.18559958160622214,24
14,418.2035034656525,30.1626251250094,0.1909014940261841,0.030190050022631334,tanh,3,7,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 7}",-0.0848853516187537,-0.15564270282416712,-0.22177916331552025,-0.23988684417519673,-0.10020114812319653,-0.7282653900674733,-0.2486305076289829,-0.4960888553162291,-0.15869575950665868,-0.3347673910157812,-0.27688431135919594,0.18897042908974232,27
15,486.79450697898864,18.048096610021776,0.21349663734436036,0.02777768779014146,tanh,3,10,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 10}",-0.08478900264991962,-0.15764707611396445,-0.22444438964400143,-0.24083381844778273,-0.10003692384672007,-0.10759978318561654,-0.24858555686431083,-0.4958892237185555,-0.15969538255483692,-0.3348408567571652,-0.21543620137828728,0.11966513042847686,14
16,517.3396472454071,30.0886444396157,0.19827466011047362,0.031269627242859956,tanh,3,13,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 13}",-0.0848858131907913,-0.15692566711552333,-0.22426576501954495,-0.23889851284696487,-0.10019836613632904,-0.10841683378095708,-0.24874621647023334,-0.49426528058381747,-0.15917248950843527,-0.3346762729323084,-0.2150451217584905,0.11919132286465929,7
17,519.7463270664215,28.436788069907625,0.1831373929977417,0.027485392323553966,tanh,3,15,"{'activ': 'tanh', 'n_layer': 3, 'n_neur': 15}",-0.08542703256798392,-0.15815458553042094,-0.22191996233741218,-0.2413625524727925,-0.10012113683540272,-0.10833076166613911,-0.24849991104568575,-0.49652562211015855,-0.15857379171289027,-0.3337950740667217,-0.21527104303456074,0.11958815852800717,11
18,441.6182032585144,22.22128248198996,0.20433259010314941,0.034155347817273425,tanh,4,3,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 3}",-0.0856793781931849,-0.7585453132363513,-0.22424690546132847,-0.24301227263701278,-0.10138797609009649,-0.10999996026232717,-0.24911752305964993,-0.49405458989468026,-0.16198239823114827,-0.3332020322945771,-0.2761228349360357,0.19885328016332726,26
19,446.24189405441285,30.527232506453615,0.19423999786376953,0.026560466271447862,tanh,4,5,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 5}",-0.6143126747189449,-0.7584797656083281,-0.22382533584099248,-0.24221951248649487,-0.8691425962971875,-0.1103599975385892,-0.24981982365705818,-0.49394740738298715,-0.16196395106524966,-0.9087740513238871,-0.463284511591972,0.29003432015067915,38
20,439.9549471139908,4.791630441056224,0.20999183654785156,0.03281661459408871,tanh,4,7,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 7}",-0.6145027170385062,-0.15975503753773715,-0.22349520163598477,-0.24249442479099834,-0.10139086481065862,-0.11145545777415031,-0.2503800919853156,-0.4945716901468144,-0.16279028298385625,-0.33324788850916776,-0.26940836572131893,0.15925728943782466,25
21,550.4142163515091,12.608652933491825,0.18386049270629884,0.019853314774824746,tanh,4,10,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 10}",-0.6145594058766934,-0.7584123183663047,-0.225827851342741,-0.24052487593996705,-0.10180278141911497,-0.11110085925157252,-0.2491845037758408,-0.9878350269633915,-0.16022350523684753,-0.3338884229212072,-0.3783359551093681,0.28776956203604664,34
22,557.0414477825165,11.961460457884314,0.1971886157989502,0.029406396744412398,tanh,4,13,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 13}",-0.6143286737367947,-0.7583844164844581,-1.0045603066906708,-0.2445290026948545,-0.10234881288837801,-0.728066568602018,-0.24968628889001532,-0.9878317420377783,-0.16159246319978168,-0.908967193545574,-0.5760295468770323,0.3368124969598383,41
23,532.1919229507446,33.37972915736389,0.17345666885375977,0.025356930582009895,tanh,4,15,"{'activ': 'tanh', 'n_layer': 4, 'n_neur': 15}",-0.6144539554772562,-0.7583819511007885,-0.2229618799587605,-1.0707148020549668,-0.10158354987240731,-0.1104857047278175,-0.6861750839392128,-0.987673731548113,-0.7416586544202204,-0.90882194205537,-0.6202911255154914,0.3385417355185967,42
24,388.6933031797409,29.728918524722758,0.1503988027572632,0.02870188093411853,relu,1,3,"{'activ': 'relu', 'n_layer': 1, 'n_neur': 3}",-0.11438445616291394,-0.16798645905969298,-0.221447481109606,-0.23697343160584422,-0.14135797642683814,-0.1446019342417878,-0.26989954860119975,-0.5015698916827426,-0.168973066170632,-0.9088741017661596,-0.28760683468274173,0.23221448797819527,29
25,353.0465770721436,25.153444901309552,0.1414257526397705,0.020740417375429136,relu,1,5,"{'activ': 'relu', 'n_layer': 1, 'n_neur': 5}",-0.11448052106974424,-0.15553527049875868,-0.21875255812869793,-0.2509983710198797,-0.14147666845706425,-0.1355898940358652,-0.26991107598156294,-0.5015775859513424,-0.16281628952719532,-0.36046056739032245,-0.23115988020604333,0.1153578204434823,22
26,369.50997655391694,14.321905205660784,0.13336164951324464,0.023706838773148314,relu,1,7,"{'activ': 'relu', 'n_layer': 1, 'n_neur': 7}",-0.1146115638711706,-0.15482642682922948,-0.21990863175545025,-0.23686507807163065,-0.14124283228108844,-0.13561579978189062,-0.27000760632175047,-0.5050226998695807,-0.16139784978992097,-0.3603202349480738,-0.2299818723519786,0.11611565086119562,19
27,376.75352771282195,7.488516174014029,0.14286525249481202,0.024497536738361428,relu,1,10,"{'activ': 'relu', 'n_layer': 1, 'n_neur': 10}",-0.11103100719420778,-0.16331420953767686,-0.2185962026256689,-0.23710918355785662,-0.14140695020217164,-0.1355942486859616,-0.26982040546455105,-0.49715382812390896,-0.16866747893884246,-0.3603326828848525,-0.23030261972156985,0.11368666610082932,20
