,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2236,0.14202451705932617,0.0013754795851042604,0.0024982452392578124,2.4604335307432868e-05,squared_error,0.001,squared_error,4,2,2,100,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.9}",-0.5456856506540512,-0.6814940638159581,-0.9356047803010239,-1.2595607836060516,-0.9182513642137683,-0.8681193285181706,0.24457570852919622,2404
2237,0.13549408912658692,0.002832412774313981,0.0025292396545410155,1.9072651844843425e-05,squared_error,0.001,squared_error,4,2,2,100,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1}",-0.5450160808705989,-0.6810280870878629,-0.9357378585427863,-1.2585189048866596,-0.9183145757278235,-0.8677231014231461,0.2445001897564136,2380
2238,0.27075929641723634,0.0050997003636561915,0.0035275936126708983,7.369678329585946e-05,squared_error,0.001,squared_error,4,2,2,200,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-0.4948524672523868,-0.6214003406745431,-0.8610424857026309,-1.1600863058073696,-0.8436661134375183,-0.7962095425748897,0.22813858918173388,2101
2239,0.28146958351135254,0.0029462223819717915,0.0035513877868652345,0.00010516984850149176,squared_error,0.001,squared_error,4,2,2,200,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.9}",-0.49569131698824387,-0.6210560664429943,-0.8612592745521749,-1.1593740622319042,-0.8442710327965571,-0.7963303506023748,0.22778047060636664,2104
2240,0.27155113220214844,0.009335231120213693,0.003513193130493164,9.280059677289662e-05,squared_error,0.001,squared_error,4,2,2,200,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1}",-0.4951630700368417,-0.6207402427935002,-0.8613882791801298,-1.15919677972621,-0.8432087362398243,-0.7959394215953013,0.22787497239144666,2093
2241,0.06981110572814941,0.0020942052141466345,0.001999235153198242,4.010923345420636e-05,squared_error,0.001,squared_error,4,2,4,50,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 50, 'subsample': 0.8}",-0.572603442182892,-0.7140146470151396,-0.9753741861484995,-1.3121205530375128,-0.9586270370115776,-0.9065479730791243,0.25319021524554236,2556
2242,0.07240443229675293,0.0007681598191651557,0.0019868850708007813,3.878201942579084e-05,squared_error,0.001,squared_error,4,2,4,50,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 50, 'subsample': 0.9}",-0.5724774678934637,-0.7138011159984676,-0.9755907835640407,-1.3112896697700958,-0.9588058026929845,-0.9063929679838105,0.2530090767907228,2526
2243,0.06957774162292481,0.0023772436037399302,0.0019799232482910155,2.1891240275157607e-05,squared_error,0.001,squared_error,4,2,4,50,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 50, 'subsample': 1}",-0.5722307772863668,-0.7138264662709976,-0.9755219381289483,-1.3125338583838604,-0.9590223055853281,-0.9066270691311002,0.25347387944383415,2563
2244,0.14310245513916015,0.0069800122905528195,0.0027819156646728517,0.0002635105164177721,squared_error,0.001,squared_error,4,2,4,100,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 100, 'subsample': 0.8}",-0.5454339186649012,-0.6812635068152121,-0.9354989416092998,-1.2594284450206028,-0.9184928836624223,-0.8680235391544876,0.24463902302557725,2396
2245,0.15212182998657225,0.012674614025914589,0.0025613784790039064,8.845096646768718e-05,squared_error,0.001,squared_error,4,2,4,100,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 100, 'subsample': 0.9}",-0.5457021752160104,-0.6811032262319061,-0.9356100655133052,-1.2599180730448893,-0.9183878153028402,-0.8681442710617903,0.2447513091706121,2408
2246,0.14667754173278807,0.00985248645724245,0.0025279998779296877,8.117799359112352e-05,squared_error,0.001,squared_error,4,2,4,100,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 100, 'subsample': 1}",-0.545552590041372,-0.6807092943891753,-0.9355203048907231,-1.2601704230929596,-0.9181516534877666,-0.8680208531803993,0.24491711213876283,2395
2247,0.2717764377593994,0.006326783505710433,0.0035486221313476562,6.157627738793771e-05,squared_error,0.001,squared_error,4,2,4,200,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 200, 'subsample': 0.8}",-0.496135351509349,-0.6213961248164791,-0.8610462282167219,-1.1603663963674231,-0.8439530727274845,-0.7965794347274915,0.22790218152159866,2109
2248,0.287306547164917,0.002980069938054991,0.003538656234741211,7.383949262083884e-05,squared_error,0.001,squared_error,4,2,4,200,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 200, 'subsample': 0.9}",-0.4950079101685996,-0.6211389268139688,-0.8606039528626312,-1.1585058113377809,-0.8438425039986139,-0.7958198210363189,0.2276161285597077,2090
2249,0.2778557300567627,0.013694841135621362,0.0035137653350830076,9.78777699441218e-05,squared_error,0.001,squared_error,4,2,4,200,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 4, 'n_estimators': 200, 'subsample': 1}",-0.49488085246572805,-0.6206596565296674,-0.8616586375083494,-1.1596315835198199,-0.8432410917345958,-0.7960143643516322,0.22811737416919778,2095
2250,0.06947593688964844,0.00023707087123661107,0.002032899856567383,4.1297952062453e-05,squared_error,0.001,squared_error,4,2,8,50,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 50, 'subsample': 0.8}",-0.571742197008848,-0.7143271787428825,-0.9756146543261233,-1.3124279553611697,-0.9584144372037614,-0.9065052845285569,0.25347292909904773,2547
2251,0.0747098445892334,0.0028529710133273134,0.002013683319091797,2.1365284711883263e-05,squared_error,0.001,squared_error,4,2,8,50,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 50, 'subsample': 0.9}",-0.5723361583596844,-0.7143755502817873,-0.9754697399223454,-1.3119216446791662,-0.9586575430098364,-0.906552127250564,0.25314865511996215,2557
2252,0.06795907020568848,0.0006637247635265186,0.0019589900970458985,2.01925757947155e-05,squared_error,0.001,squared_error,4,2,8,50,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 50, 'subsample': 1}",-0.5724759418360932,-0.7135232090871763,-0.975767417253408,-1.3121169663931347,-0.9580490068107629,-0.9063865082761149,0.2532952614967532,2525
2253,0.13508973121643067,0.0005579799732593106,0.0025124549865722656,4.930367089947354e-05,squared_error,0.001,squared_error,4,2,8,100,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 100, 'subsample': 0.8}",-0.5451367261920402,-0.6819543890510024,-0.9354862872518154,-1.259086532046843,-0.9184349681950278,-0.8680197805473459,0.24449966114631874,2394
2254,0.14192414283752441,0.0007439144589439485,0.0024997711181640623,6.162802523864997e-05,squared_error,0.001,squared_error,4,2,8,100,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 100, 'subsample': 0.9}",-0.5452228249944288,-0.6807562485882303,-0.9353871780717915,-1.2583306559214784,-0.9184836550018554,-0.8676361125155567,0.2444145319819345,2377
2255,0.13385024070739746,0.0003898669886884118,0.0024990081787109376,5.5676450783439324e-05,squared_error,0.001,squared_error,4,2,8,100,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 100, 'subsample': 1}",-0.5451790277758042,-0.6810267335534766,-0.9352660498030131,-1.259046282703976,-0.9180611769829249,-0.867715854163839,0.24458945884595745,2379
2256,0.26822314262390134,0.0012220709613858598,0.0035163402557373048,5.2379340963673285e-05,squared_error,0.001,squared_error,4,2,8,200,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 200, 'subsample': 0.8}",-0.4951704669329207,-0.6208319249603289,-0.8613903510242331,-1.1604118537278831,-0.8442380453768776,-0.7964085284044488,0.22828939273098994,2106
2257,0.2838624954223633,0.0031789447260044757,0.003519773483276367,4.6892516224275624e-05,squared_error,0.001,squared_error,4,2,8,200,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 200, 'subsample': 0.9}",-0.4961509018359517,-0.6209921951184685,-0.8614375210334981,-1.1598305931783985,-0.8441242044866654,-0.7965070831305965,0.2278186280889988,2108
2258,0.2726083278656006,0.012700206880287364,0.0035311222076416016,7.770362528037492e-05,squared_error,0.001,squared_error,4,2,8,200,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 200, 'subsample': 1}",-0.4952724450794321,-0.6202042443390867,-0.8610035359631075,-1.1588443868773879,-0.8434268690219703,-0.7957502962561969,0.22780329888676243,2089
2259,0.06781902313232421,0.0003481678551539193,0.001974153518676758,3.9429964183666276e-05,squared_error,0.001,squared_error,4,2,16,50,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 50, 'subsample': 0.8}",-0.5722359024941358,-0.7139169771295912,-0.975903804011446,-1.3133232920388616,-0.9581003351850573,-0.9066960621718184,0.2536947728768744,2566
2260,0.07215738296508789,0.0008577120892275025,0.0019945621490478514,3.515276388676075e-05,squared_error,0.001,squared_error,4,2,16,50,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 50, 'subsample': 0.9}",-0.5717753871393547,-0.7141218548454894,-0.9754772095919415,-1.3125472479704865,-0.958461665335334,-0.9064766729765212,0.25352796775068676,2540
2261,0.0687497615814209,0.0011951874297791024,0.001962709426879883,2.2597956381606116e-05,squared_error,0.001,squared_error,4,2,16,50,1,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 50, 'subsample': 1}",-0.5723613898392736,-0.7139716720672573,-0.9758835479376408,-1.3124163050052826,-0.9582852500293431,-0.9065836329757595,0.2533691253481783,2559
2262,0.135283899307251,0.00046416607026562526,0.002507638931274414,4.240082557343795e-05,squared_error,0.001,squared_error,4,2,16,100,0.8,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 100, 'subsample': 0.8}",-0.5452784677219467,-0.6814548721664975,-0.9354920688422057,-1.2584514629811048,-0.9179699302458633,-0.8677293603915235,0.24431636216790167,2381
2263,0.1421748161315918,0.0009701495274183509,0.0024691104888916017,3.20615461925704e-05,squared_error,0.001,squared_error,4,2,16,100,0.9,"{'criterion': 'squared_error', 'learning_rate': 0.001, 'loss': 'squared_error', 'max_depth': 4, 'max_features': 2, 'min_samples_split': 16, 'n_estimators': 100, 'subsample': 0.9}",-0.545254902471678,-0.681815544321454,-0.935485989966448,-1.2594576866712905,-0.9187581969503452,-0.8681544640762432,0.2446216687346271,2411
