,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_batch_size,param_d_c,param_epochs,param_l_r,param_n_layer,param_n_neur,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.938378763198853,0.5988714835016256,0.15330429077148439,0.010618203905596273,relu,4,0.0001,200,0.01,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-2.125541255587623,-3.208523230893271,-1.5205144797052657,-71.938460622515,-1.5243968099355698,-16.063487279727347,27.944274174423825,102
1,6.51221661567688,2.2303443938806478,0.12429442405700683,0.039035929472506545,relu,4,0.0001,200,0.01,2,4,-3.5,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 4, 'reg': -3.5}",-0.6770514310975115,-2.309568416504633,-1.4833748845073085,-8.419827432720922,-1.7324467898637521,-2.9244537909388253,2.7973423801415747,64
2,6.001336193084716,0.41670204237240177,0.1245185375213623,0.026705505917554953,relu,4,0.0001,200,0.01,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-0.9086977652678754,-1.5254201624276382,-0.8545125207996794,-1.0761130613141827,-109.49659795761109,-22.772268293484093,43.36280617627991,155
3,8.306042575836182,3.362344073012923,0.0798804759979248,0.024249206615402603,relu,4,0.0001,200,0.01,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-2.2015704711111974,-1.7570045604592277,-2.8329923379988897,-2.6277918570808003,-1.734826809889637,-2.2308372073079505,0.4453232598479577,52
4,5.802135276794433,0.6428391139634718,0.15163741111755372,0.030694576214386107,relu,4,0.0001,200,0.01,2,5,-3.5,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 5, 'reg': -3.5}",-1.2061268775945617,-1.5649837722053885,-2.2669072417303964,-1.7923259458371572,-2.509548990428448,-1.8679785655591903,0.4703899487171422,34
5,6.938399982452393,2.073957680444748,0.10373692512512207,0.020192865765976127,relu,4,0.0001,200,0.01,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.01, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-2.459737677127123,-1.5607000157857935,-1.2876410212899958,-1.8610883326757521,-1.420589127158746,-1.717951234807482,0.41690632127660304,23
6,5.411615467071533,0.5440204398452755,0.1251955509185791,0.04089256758663938,relu,4,0.0001,200,0.03,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-1.2418423488381363,-76.77607890537807,-1.5850913339915376,-3.1517871325569495,-1.9977245977148415,-16.950504863695905,29.91971780972433,107
7,6.134796190261841,0.17311451393048702,0.1820920467376709,0.02232891177752867,relu,4,0.0001,200,0.03,2,4,-3.5,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -3.5}",-4.63712322137629,-3.8608680842666043,-2.519720819556997,-2.1498475528898693,-2.2385256686480717,-3.081217069347567,0.9921245557402063,67
8,6.677252244949341,2.2153210052696823,0.10828781127929688,0.012773300055614842,relu,4,0.0001,200,0.03,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-3.3272242213244594,-0.777972589646067,-1.885243493886221,-2.910713241923423,-1.8930961701786146,-2.1588499433917567,0.8924914225122198,48
9,6.880784940719605,2.102172978882185,0.13473639488220215,0.03101260408564028,relu,4,0.0001,200,0.03,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-1.7785241588329275,-1.790009355305561,-0.9059947648617838,-1.6175867124859775,-1.7366129979491234,-1.5657455978870747,0.335476759294599,17
10,5.41678819656372,0.40491082167898,0.1808162212371826,0.07653693350245704,relu,4,0.0001,200,0.03,2,5,-3.5,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -3.5}",-96.00154621444554,-1.2494954892567225,-3.2403492026385807,-1.4640905012687047,-2.8561281725764274,-20.962321916037194,37.527494736721394,136
11,6.128982067108154,0.18048337685519822,0.13029065132141113,0.01367214518282353,relu,4,0.0001,200,0.03,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-96.00178035891925,-1.9833670599120004,-2.5116407335514115,-1.5822051366170247,-2.8387992763891816,-20.983558513077774,37.51159135845379,137
12,6.030257940292358,0.15887468254769105,0.13695697784423827,0.021030467436901228,relu,4,0.0001,200,0.1,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0001, 'epochs': 200, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-2.15131457810778,-3.139882042294457,-4.57158023686636,-1.7694548254921323,-9.189523188769817,-4.164350974306109,2.6927893027856347,80
