,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_batch_size,param_d_c,param_epochs,param_l_r,param_n_layer,param_n_neur,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.122223949432373,0.6682719538924066,0.145369291305542,0.009476890268013361,relu,4,0.0003,50,0.03,2,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -2}",-96.00265699234747,-4.7714743330365135,-106.66742570975718,-2.1996192203036378,-2.71884521022439,-42.47200429313384,48.18732514896279,798
1,2.031752872467041,0.5904488115743889,0.10434112548828126,0.014402466022027882,relu,4,0.0003,50,0.03,2,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -3}",-1.7683176017765487,-2.682866844703399,-104.47280406951904,-16.577357489194366,-5.135487806797028,-26.127366762398076,39.529424631404055,500
2,1.857116413116455,0.05494045422081747,0.12435750961303711,0.03553246744861167,relu,4,0.0003,50,0.03,2,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 3, 'reg': -4}",-5.473283610173634,-2.725167605305268,-104.34687569027855,-4.628219585244854,-112.0105250634253,-45.836814310885515,50.96737044215116,902
3,2.160379505157471,0.5652065032182244,0.14689435958862304,0.08394353526477732,relu,4,0.0003,50,0.03,2,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -2}",-4.141650383582427,-83.61166683832805,-1.783201728836589,-4.080972998269966,-4.986790479440242,-19.720856485691456,31.963120701963287,305
4,1.8923418045043945,0.08114982199874736,0.12066264152526855,0.019777748287604462,relu,4,0.0003,50,0.03,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-0.6810676966949055,-85.33609084645286,-3.332169531888905,-1.5018100497268496,-2.6244496778585016,-18.69511756052441,33.33293168768303,277
5,1.9356687545776368,0.06326897004667147,0.12141380310058594,0.018548901176341264,relu,4,0.0003,50,0.03,2,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 4, 'reg': -4}",-3.7667078028122583,-2.0905033477715085,-1.768660199074518,-2.0478556275012947,-5.673016527132131,-3.0693487008583427,1.4804575488341445,108
6,2.0039047718048097,0.12235450106597447,0.13410544395446777,0.02297302020023578,relu,4,0.0003,50,0.03,2,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -2}",-14.255747362261726,-0.8444172115774736,-3.4110641870204184,-1.4786106184834527,-2.1717924017459156,-4.432326356217796,4.984979822006752,152
7,2.0166555881500243,0.14242441456519722,0.12432889938354492,0.016726018646157068,relu,4,0.0003,50,0.03,2,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -3}",-0.8144588640757969,-4.982125669274302,-3.0366543672557564,-2.203031239055452,-2.2371879164129496,-2.6546916112148513,1.3658409740678306,81
8,1.9759544849395752,0.06044559478511499,0.12139983177185058,0.01786060796882473,relu,4,0.0003,50,0.03,2,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 2, 'n_neur': 5, 'reg': -4}",-1.218733276451184,-2.8237499767648324,-5.15406586034667,-1.7987907628218334,-5.860495266318321,-3.371167028540568,1.8319654432634516,119
9,2.9303872108459474,0.8635927654599113,0.19193320274353026,0.04259685590716664,relu,4,0.0003,50,0.03,3,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 3, 'reg': -2}",-96.00392207922414,-85.33776276234892,-106.66936452376346,-3.1197790448509513,-3.863086129538715,-58.998782907945234,45.82142439605928,1037
10,4.085156106948853,0.5448223125685753,0.2044356346130371,0.08530443182011428,relu,4,0.0003,50,0.03,3,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 3, 'reg': -3}",-92.0511094665687,-85.33919860220824,-106.67026845055322,-2.264226015125002,-112.00268529797904,-79.66549756648685,39.87857185063813,1338
11,3.2929112911224365,0.14722358911826275,0.17812676429748536,0.054083282960555826,relu,4,0.0003,50,0.03,3,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 3, 'reg': -4}",-96.00158116676002,-2.8167626770834127,-1.3978748995633352,-74.67241882249003,-111.92492374777794,-57.36271226273495,46.64106922186178,1006
12,2.2828083992004395,0.6074914166151404,0.13038959503173828,0.02562622746204963,relu,4,0.0003,50,0.03,3,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 4, 'reg': -2}",-96.00087506791931,-85.33594685005734,-4.558881231672352,-2.4698503762483597,-112.00342289730906,-60.07379528464128,46.958998581264744,1070
13,2.0960714340209963,0.12935713398615473,0.15333995819091797,0.014443308364325993,relu,4,0.0003,50,0.03,3,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 4, 'reg': -3}",-7.45682167971418,-85.34291477057906,-106.66680347903942,-6.054821857384273,-112.0124542042613,-63.50676319819566,47.190529050997725,1136
14,2.0845128536224364,0.030090192902141315,0.1298893928527832,0.036528176578638494,relu,4,0.0003,50,0.03,3,4,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 4, 'reg': -4}",-96.00029187347917,-1.459396929258392,-7.854715229322513,-4.5895297817353695,-112.00258706938476,-44.381304176636036,48.983721627253196,859
15,2.183097219467163,0.033603627424248377,0.13741497993469237,0.04449362633512045,relu,4,0.0003,50,0.03,3,5,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 5, 'reg': -2}",-96.00029235344846,-17.625895318530855,-3.788249890719141,-1.3244226766484124,-112.00149543974548,-46.14807113581847,47.83083918006218,909
16,2.313511323928833,0.5388192079172552,0.12544379234313965,0.028557199989117783,relu,4,0.0003,50,0.03,3,5,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 5, 'reg': -3}",-2.4582267562370923,-2.9030676756408953,-5.185862205479117,-74.67058985928695,-112.00009422423318,-39.443568144175444,45.567766247597746,678
17,2.251421594619751,0.5642928241508912,0.13057861328125,0.027277614353974015,relu,4,0.0003,50,0.03,3,5,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.03, 'n_layer': 3, 'n_neur': 5, 'reg': -4}",-1.6348689801192708,-3.795337592828132,-106.6669813079061,-2.2238258165972575,-1.6880564409773797,-23.201814027685625,41.73990021622193,392
18,1.855341386795044,0.15933793453933018,0.10826668739318848,0.021713473033431862,relu,4,0.0003,50,0.1,2,3,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 3, 'reg': -2}",-1.2853099184022063,-8.949476085071053,-1.9680677145009948,-3.8080586138225736,-8.558491868898273,-4.91388084013902,3.2445771136880777,159
19,2.2385152339935304,0.26671661519881085,0.17487378120422364,0.08044128505250694,relu,4,0.0003,50,0.1,2,3,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 3, 'reg': -3}",-2.989015532391412,-85.33420657286963,-106.6790436912949,-32.129766936680035,-112.01465749293565,-67.82933804523432,43.0041609767124,1185
20,2.8349685668945312,0.8473763004661728,0.11954340934753419,0.019835305581534842,relu,4,0.0003,50,0.1,2,3,-4,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 3, 'reg': -4}",-2.6344507168091478,-6.99967398529961,-9.814547696638675,-9.080488638508887,-10.339288233406842,-7.773689854132632,2.8094838784268865,194
21,2.0263724327087402,0.1680024313019088,0.14575481414794922,0.03494989798346394,relu,4,0.0003,50,0.1,2,4,-2,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 4, 'reg': -2}",-6.36556544545151,-4.591142662933895,-2.687877194512458,-74.67507347619782,-112.0115571655333,-40.066243188925796,45.08937794904002,699
22,2.06156325340271,0.14882535787951656,0.15472764968872071,0.020821699817271465,relu,4,0.0003,50,0.1,2,4,-3,"{'activ': 'relu', 'batch_size': 4, 'd_c': 0.0003, 'epochs': 50, 'l_r': 0.1, 'n_layer': 2, 'n_neur': 4, 'reg': -3}",-96.00762855368001,-4.3414803477270265,-5.582331406218665,-2.5821944021043324,-112.00150088341907,-44.103027118629825,49.17945615595143,853
