,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009608840942382813,0.00030409642915115576,0.023061132431030272,0.004256555194207381,10,1,1,uniform,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",-0.2170356012761667,-0.2483585180339884,-0.2809445705103814,-0.3210864020754292,-0.21171611008016947,-0.20958535630872158,-0.36385530928625004,-0.601214899156177,-0.33630767612131357,-0.451556866970707,-0.3241661309819304,0.11814489463223889,523
1,0.008915233612060546,0.0004630343889817625,0.02355978488922119,0.004668120920584544,10,1,1,distance,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",-0.2170356012761667,-0.2483585180339884,-0.2809445705103814,-0.3210864020754292,-0.21171611008016947,-0.2095853563087216,-0.36385530928625004,-0.601214899156177,-0.3363076761213135,-0.451556866970707,-0.3241661309819304,0.11814489463223889,523
2,0.008522629737854004,0.0002959673398807932,0.013625097274780274,0.00221123637533642,10,1,2,uniform,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",-0.22379736763106375,-0.2445367376736615,-0.30566176445679355,-0.3129875681073299,-0.2101565760465921,-0.20073318385282757,-0.3766653871065717,-0.6078016517471121,-0.35346601223088664,-0.4478551782003746,-0.32836614270532133,0.12012589846857037,529
3,0.008423161506652833,0.0001748193903553394,0.0130051851272583,0.0019744196156646714,10,1,2,distance,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",-0.22379736763106375,-0.2445367376736615,-0.30566176445679355,-0.3129875681073299,-0.21015657604659213,-0.20073318385282757,-0.3766653871065717,-0.6078016517471121,-0.35346601223088664,-0.4478551782003746,-0.32836614270532133,0.12012589846857037,529
4,0.008137869834899902,0.0005589036691870497,0.02769050598144531,0.004346300384812789,10,1,3,uniform,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 3, 'weights': 'uniform'}",-0.22654120536127584,-0.24049470796466774,-0.32402307322902063,-0.32331773927060914,-0.21330841442618664,-0.20344880397743287,-0.3678448993637549,-0.6136210563199171,-0.3507218719741858,-0.44922865111953186,-0.3312550423006583,0.12038674471094954,535
5,0.008109736442565917,0.00011258765765500421,0.027468276023864747,0.0041942268677160974,10,1,3,distance,"{'leaf_size': 10, 'n_neighbors': 1, 'p': 3, 'weights': 'distance'}",-0.22654120536127584,-0.24049470796466774,-0.32402307322902063,-0.32331773927060914,-0.2133084144261867,-0.20344880397743287,-0.367844899363755,-0.613621056319917,-0.3507218719741858,-0.4492286511195319,-0.3312550423006583,0.12038674471094951,535
6,0.00857400894165039,0.0008221295597562169,0.026782679557800292,0.004929682210942925,10,2,1,uniform,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",-0.19072500707004625,-0.21926805128331697,-0.2686166117769262,-0.29921041891268935,-0.17987851681256425,-0.19099566082533118,-0.3451483427789449,-0.597110791102797,-0.29740940914417435,-0.42987384794356,-0.30182366576503505,0.12365645709706485,508
7,0.008238840103149413,9.483089917560417e-05,0.027514719963073732,0.005895338636536553,10,2,1,distance,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",-0.1893554390342882,-0.219458477811927,-0.26662994858042494,-0.29895776041169475,-0.1807174209013218,-0.19020778113759473,-0.3458193581281678,-0.5955346874030107,-0.2963968217106847,-0.4288331261891594,-0.3011910821308274,0.12335453085745957,505
8,0.008211731910705566,0.0001609855229090021,0.015641069412231444,0.0025455281961685753,10,2,2,uniform,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",-0.1927430541743972,-0.21482848397292006,-0.2757162703703549,-0.2976825112299676,-0.1886780171749512,-0.17985819684079604,-0.3375153536955089,-0.6184869567861164,-0.30803263961538996,-0.4324455772170755,-0.30459870610774775,0.12900238882526133,514
9,0.008068561553955078,0.00026020228643689467,0.015448713302612304,0.0021100084773525833,10,2,2,distance,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",-0.19207998415828056,-0.21565720903888969,-0.2751562836593977,-0.29767730097652334,-0.18861102337086863,-0.17937218801363441,-0.33891649737026824,-0.6137772980079392,-0.30666935161978587,-0.43176291839875436,-0.30396800546143427,0.1278908899308916,511
10,0.00821380615234375,0.0001991313821071509,0.03418591022491455,0.005395838583750276,10,2,3,uniform,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 3, 'weights': 'uniform'}",-0.18998295124886164,-0.21758137506809172,-0.30183788073810386,-0.30518838557623196,-0.18687696123646158,-0.18268258405694388,-0.3332248894998076,-0.6081913620594955,-0.30825338902396143,-0.4312317333188187,-0.3065051511826778,0.12587279338929205,520
11,0.008204221725463867,0.00014095237032315722,0.03372743129730225,0.005192834550373537,10,2,3,distance,"{'leaf_size': 10, 'n_neighbors': 2, 'p': 3, 'weights': 'distance'}",-0.18942625320976497,-0.21844372591542582,-0.3014062197185597,-0.30462607216308935,-0.1873085956113389,-0.18188341359764426,-0.3346968224046453,-0.6065222838274833,-0.30699006153652325,-0.4301253879344875,-0.30614288359189623,0.12542573310558053,517
