,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.108092737197876,0.01662248801943318,0.014047384262084961,0.0005456870562778454,12,8,100,"{'max_depth': 12, 'min_samples_split': 8, 'n_estimators': 100}",-0.09959173171158395,-0.11246919786874324,-0.18750498843033916,-0.22242526284815933,-0.13817450824825686,-0.1520331378214165,0.046305013733727564,36
1,3.157284688949585,0.009819552672191999,0.02051377296447754,0.001123875017534161,12,8,150,"{'max_depth': 12, 'min_samples_split': 8, 'n_estimators': 150}",-0.09888399450604189,-0.11325035503963964,-0.18937085995160338,-0.21981499800780196,-0.14093313069459923,-0.15245066763993723,0.04569411393631153,58
2,4.205791234970093,0.03580238023334898,0.026241254806518555,0.0015837587095180016,12,8,200,"{'max_depth': 12, 'min_samples_split': 8, 'n_estimators': 200}",-0.09913224843565548,-0.11256743907109115,-0.19160349405060592,-0.22175828748466955,-0.1378553123320959,-0.1525833562748236,0.04686779725397221,66
3,5.242469692230225,0.025146602108184132,0.03182749748229981,0.000867720079011543,12,8,250,"{'max_depth': 12, 'min_samples_split': 8, 'n_estimators': 250}",-0.09797808559699214,-0.1128419128484903,-0.18739966269481537,-0.220993818766489,-0.13922385797404144,-0.15168746757616564,0.04610368227052736,23
4,6.345258569717407,0.06634061241482854,0.03761968612670898,0.0010709601283875813,12,8,300,"{'max_depth': 12, 'min_samples_split': 8, 'n_estimators': 300}",-0.09685760456119444,-0.11266291088004127,-0.18917908662019645,-0.22163323670970886,-0.13821631091448489,-0.1517098299371252,0.046922769703466566,25
5,2.04846305847168,0.011943384718659113,0.013272762298583984,0.0003931530899815879,12,12,100,"{'max_depth': 12, 'min_samples_split': 12, 'n_estimators': 100}",-0.0993470537341461,-0.11098760039622031,-0.1886132870020903,-0.22288196135737331,-0.13997675454182995,-0.15236133140633198,0.04682529344728552,56
6,3.0662934303283693,0.013094133385144986,0.01908421516418457,0.0003682902655821643,12,12,150,"{'max_depth': 12, 'min_samples_split': 12, 'n_estimators': 150}",-0.09833239905892498,-0.11303800820819719,-0.18899615068878994,-0.21938288629742048,-0.13798247351100598,-0.15154638355286773,0.0458320388727751,19
7,4.090949869155883,0.04501085931807032,0.02452402114868164,0.0006892056290032709,12,12,200,"{'max_depth': 12, 'min_samples_split': 12, 'n_estimators': 200}",-0.09664896110322659,-0.11370324673457544,-0.1923687835034113,-0.22141453194497787,-0.13868209161614695,-0.15256352298046763,0.047231713153947114,64
8,5.110463809967041,0.03696708029247928,0.030359601974487303,0.0008506972236867657,12,12,250,"{'max_depth': 12, 'min_samples_split': 12, 'n_estimators': 250}",-0.09762053075901303,-0.11260827517077371,-0.19152514343418706,-0.22229075883351204,-0.13922185723033367,-0.1526533130855639,0.047271575483666874,68
9,6.137744188308716,0.0323409894838509,0.03622479438781738,0.0011533875572594385,12,12,300,"{'max_depth': 12, 'min_samples_split': 12, 'n_estimators': 300}",-0.09551703983993003,-0.11280360609907351,-0.1921663796344081,-0.2214911189064425,-0.13861596289051925,-0.15211882147407468,0.04764052392600193,44
10,1.9766501903533935,0.010722107560142302,0.012656402587890626,0.0003271456482465002,12,16,100,"{'max_depth': 12, 'min_samples_split': 16, 'n_estimators': 100}",-0.09833156540997329,-0.1122619497248509,-0.1899692898030946,-0.2234295551998505,-0.14007028924763326,-0.15281252987708052,0.0472065224515501,76
11,2.991887664794922,0.031195377546441708,0.01837158203125,0.00035938093937965503,12,16,150,"{'max_depth': 12, 'min_samples_split': 16, 'n_estimators': 150}",-0.09619624356000424,-0.11290466788963116,-0.19255789380401164,-0.223249968081208,-0.13937990943618467,-0.15285773655420795,0.04799915218601643,82
12,3.956478404998779,0.029295540660811623,0.0237886905670166,0.0007200484398021422,12,16,200,"{'max_depth': 12, 'min_samples_split': 16, 'n_estimators': 200}",-0.09816718794992986,-0.11223440096976765,-0.19163582970426835,-0.22208435066509377,-0.14124109257510004,-0.15307257237283195,0.04705760672930093,95
13,4.964006233215332,0.03279633877043158,0.029344606399536132,0.0009328336381236028,12,16,250,"{'max_depth': 12, 'min_samples_split': 16, 'n_estimators': 250}",-0.0966699513916856,-0.11342537716157722,-0.1909689308032312,-0.22394387919486725,-0.1405757866909002,-0.1531167850484523,0.04768268392862813,96
14,5.955315208435058,0.02547764106711525,0.035028505325317386,0.001493287651195349,12,16,300,"{'max_depth': 12, 'min_samples_split': 16, 'n_estimators': 300}",-0.0964902341644121,-0.11305077900750439,-0.19260174002211,-0.22070152797713638,-0.1396147181072863,-0.15249179985568984,0.0471571055734595,60
15,1.937307024002075,0.012700569131164685,0.012433433532714843,0.00031682998510696033,12,20,100,"{'max_depth': 12, 'min_samples_split': 20, 'n_estimators': 100}",-0.09499640357955431,-0.11325893159048173,-0.1952290753369325,-0.22387323154254174,-0.14063437810143062,-0.15359840403018818,0.04878769852565841,114
16,2.898145294189453,0.017393385223606353,0.01774487495422363,0.0004967977448085005,12,20,150,"{'max_depth': 12, 'min_samples_split': 20, 'n_estimators': 150}",-0.09447902890760639,-0.1142145525344441,-0.19452334737237062,-0.2232570139771255,-0.142024568156209,-0.15369970218955112,0.04838855974520448,115
