,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.029450607299804688,0.001042420831035384,0.003191637992858887,0.00014823098942241296,squared_error,4,1,2,10,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10}",-0.2327227418581689,-0.261002370380267,-0.3983456615779682,-0.49358586168548113,-0.23073561099572218,-0.23920500821201704,-0.276829524217728,-0.6310006745123402,-0.26728221663742974,-0.5686411536240852,-0.3599350823701208,0.14460383308975758,1210
1,0.05357823371887207,0.0013831549627315997,0.0041600227355957035,0.00023544732692348382,squared_error,4,1,2,20,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 20}",-0.2115071967295356,-0.3177547976581395,-0.38404908923248066,-0.4978723231436405,-0.2727755367526106,-0.25412366788895874,-0.27462347161825695,-0.5986191205510198,-0.2637953368882705,-0.49312880648527424,-0.35682493469481874,0.12383289257334601,1208
2,0.12413828372955323,0.0027338372348301707,0.0071692228317260746,0.00018156664947722987,squared_error,4,1,2,50,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.190904899834853,-0.26256558581562833,-0.4279809577259561,-0.47143295216330033,-0.2518689230788751,-0.2498073096126801,-0.27804812270155005,-0.5745180918618618,-0.25051203606126343,-0.5064695795164799,-0.3464108458372448,0.1277843938087844,1201
3,0.24304189682006835,0.0009835029956869344,0.012186837196350098,0.000368501302275809,squared_error,4,1,2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.19039602237355135,-0.26728341826669766,-0.37841196193393284,-0.4578374328358006,-0.25007768820943865,-0.25408121174958753,-0.2858628455115384,-0.5735029778809022,-0.2583506348369667,-0.4927197002723092,-0.34085238938707246,0.12080371819245875,1184
4,0.3617264747619629,0.003134309332350449,0.01729717254638672,0.0006421007108114372,squared_error,4,1,2,150,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 150}",-0.18824103655141217,-0.26898580636043945,-0.4026462694553204,-0.4504675146996206,-0.2508816032949502,-0.2457179764430857,-0.2795899525964322,-0.5718110693797083,-0.24222524447083743,-0.5150054757432683,-0.3415571948995075,0.1259289206960583,1185
5,0.48007826805114745,0.003395267836691282,0.022243738174438477,0.0006507601989456333,squared_error,4,1,2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.18597270596638438,-0.27365989496766596,-0.4156703968660182,-0.4597690077923965,-0.24391991448319633,-0.25360268285499277,-0.2808150370160222,-0.5722500479206146,-0.24718120633572344,-0.5058520680509181,-0.34386929622539325,0.12582026358223394,1194
6,0.7268177270889282,0.007509439641218907,0.0318105936050415,0.0005319964284137076,squared_error,4,1,2,300,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.18287757454926443,-0.2599785881193823,-0.3980268567149047,-0.47886928232334025,-0.2528373481494836,-0.25197112492711476,-0.27811812245457607,-0.5722521182123573,-0.25290689388245347,-0.501450417499815,-0.3429288326832692,0.1266590566655964,1189
7,0.026334214210510253,0.0003980824695298141,0.002836012840270996,7.339416524594809e-05,squared_error,4,1,4,10,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 10}",-0.16518152920236745,-0.2631331156680991,-0.4174838218999273,-0.5062863358324415,-0.26941345237717496,-0.24152475661340317,-0.2738512885102274,-0.5773663520094627,-0.24269463198943675,-0.46887307162456066,-0.34258083557271013,0.13097067276844787,1186
8,0.050524353981018066,0.0005462330246982474,0.0038840770721435547,9.606434573657178e-05,squared_error,4,1,4,20,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 20}",-0.20003903822308938,-0.2722215653769567,-0.39057621146611843,-0.5035641272694773,-0.259729698564177,-0.23871433226001845,-0.2825444250489003,-0.5528986250780303,-0.2654174520772111,-0.5040486525582853,-0.3469754127922264,0.12280520851209563,1202
9,0.1228102445602417,0.001467377771737732,0.007044363021850586,0.00035735418337833237,squared_error,4,1,4,50,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 50}",-0.20291104669699336,-0.2788571268975537,-0.38882132014830606,-0.46623888389723,-0.22791231460608619,-0.24922687881108338,-0.28608515819269653,-0.5903202376363031,-0.26086666917605394,-0.5188027105258569,-0.3470042346588163,0.1284382924790928,1204
10,0.24149928092956544,0.002762186882628171,0.01200723648071289,0.00035574488837609216,squared_error,4,1,4,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 100}",-0.17827752357729143,-0.26923904728161796,-0.40704148788133593,-0.4756841011960768,-0.25363719731768974,-0.2406797701358582,-0.2847544156448811,-0.5594401234216632,-0.24361657192798059,-0.5172783235513286,-0.34296485619357236,0.12775936670776752,1190
11,0.36258249282836913,0.0027506852354125073,0.017256617546081543,0.0005560499926114739,squared_error,4,1,4,150,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 150}",-0.18601291215438082,-0.26499665929783056,-0.4081168170412688,-0.46379201566518163,-0.2693287430284625,-0.24547926681258608,-0.2843276444668883,-0.5792792610668797,-0.25242561888226583,-0.4956648428828475,-0.3449423781298592,0.12459574803322687,1197
12,0.48174362182617186,0.008594296882334257,0.022130322456359864,0.0008659987440901548,squared_error,4,1,4,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 200}",-0.18136547659981728,-0.2648735237825966,-0.39954772945518113,-0.48425632374279354,-0.241980493003356,-0.2520354213954419,-0.2813758341478572,-0.5600032575091107,-0.2503681510842841,-0.48839782043039515,-0.34042040311508337,0.1242588224249982,1182
13,0.7221716403961181,0.006349597998960189,0.032272958755493165,0.0007203273119008288,squared_error,4,1,4,300,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 300}",-0.18149870217829936,-0.27346442430504886,-0.4118538550736356,-0.4712711682475794,-0.2596935990557711,-0.24448268460074352,-0.2762902952064836,-0.5797130328365145,-0.25411570741268463,-0.5105410310108119,-0.34629244999275727,0.12849244577750218,1199
14,0.02673041820526123,0.000645723209106575,0.0028438568115234375,0.00011462187368283363,squared_error,4,1,8,10,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 10}",-0.23128233247139152,-0.2543036495920152,-0.3708467326103363,-0.5238075795237742,-0.3313765640543358,-0.26155932376314467,-0.3027214375095768,-0.5814572552974782,-0.2898828165340286,-0.4430523409752911,-0.35902900323313724,0.11372301043366792,1209
15,0.051170182228088376,0.0006093510519641678,0.0038338184356689455,0.00014038084317808473,squared_error,4,1,8,20,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 20}",-0.22391239508273744,-0.2637984016820864,-0.37546740690049946,-0.4908200358022347,-0.3000613662524112,-0.25302608406518257,-0.2747947877212908,-0.5885629818046099,-0.24921909636521528,-0.5175218489560516,-0.353718440463232,0.12504226930839266,1206
16,0.12292044162750244,0.0018904170228899086,0.006921935081481934,0.0001763367746215462,squared_error,4,1,8,50,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 50}",-0.18740383110237438,-0.2742458204955194,-0.41743428748559946,-0.4734967054027572,-0.24808146549102786,-0.248313155059651,-0.28757084606673805,-0.5804495437462786,-0.2725284480652132,-0.4738219800156457,-0.34633460829308044,0.1228439644187723,1200
17,0.24297609329223632,0.0021066378233802366,0.012002658843994141,0.0002143241349355056,squared_error,4,1,8,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 100}",-0.18735193381345303,-0.27655839395942466,-0.3862662492544579,-0.47505361432221277,-0.25001409032637006,-0.26251709169330945,-0.2897032355802433,-0.583465982659347,-0.23956036158149652,-0.47776924909250207,-0.3428260202282817,0.12353195997382431,1187
18,0.36007874011993407,0.0024344803573121796,0.01690812110900879,0.00048770659781398665,squared_error,4,1,8,150,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 150}",-0.18435401924773323,-0.26286556222993696,-0.41786431556789966,-0.4893078714937919,-0.25860272259079065,-0.25904500692568255,-0.28873617919822714,-0.5679872922307948,-0.2504079864608224,-0.5022929081182856,-0.34814638640639645,0.12649844985579659,1205
19,0.4842679977416992,0.00898616108056187,0.021918892860412598,0.0007896129144409211,squared_error,4,1,8,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 200}",-0.18164564698439414,-0.2691306905505912,-0.40858730284650513,-0.4704615508094921,-0.24196637563663592,-0.2515161643342047,-0.28489605455156725,-0.5834861418543693,-0.25614469558455405,-0.4947269509227195,-0.3442561574075033,0.12742680797733888,1195
20,0.7210760831832885,0.005285016967822331,0.03215832710266113,0.0008555317413531964,squared_error,4,1,8,300,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 8, 'n_estimators': 300}",-0.18972397758244697,-0.26430915432498436,-0.41700301495454656,-0.4658783115229912,-0.2525862954272978,-0.25330235135913237,-0.28121388392267754,-0.5755539076074533,-0.2489773784635068,-0.4945722628791069,-0.3443120538044144,0.12497105805705859,1196
21,0.02633054256439209,0.0007237592272211948,0.0027864456176757814,7.271233523476882e-05,squared_error,4,1,16,10,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 16, 'n_estimators': 10}",-0.21101320175731741,-0.25502942843704673,-0.4191605842487145,-0.4761334770508767,-0.2910798060006025,-0.2939233940891088,-0.2731523085305035,-0.6487449853134328,-0.24755492084775682,-0.5240804406510449,-0.3639872546926404,0.1377107294448197,1211
22,0.05017745494842529,0.0006934045403947162,0.003810214996337891,0.00010077504072876324,squared_error,4,1,16,20,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 16, 'n_estimators': 20}",-0.19886227556729832,-0.25978069601934894,-0.430627649578068,-0.5050960961732274,-0.2692332268299458,-0.25020061554405837,-0.28489809765714486,-0.5843466327434573,-0.2860954417150457,-0.4848741296717362,-0.35540148614993305,0.12615887013328658,1207
23,0.1224562644958496,0.001200677601470013,0.006794357299804687,0.00011871551293254491,squared_error,4,1,16,50,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 16, 'n_estimators': 50}",-0.18952408281244396,-0.2988206119971737,-0.3639071106276768,-0.48332712539354084,-0.2364423803061426,-0.24279604431542084,-0.2834030059645122,-0.5659890483427571,-0.2627319865568805,-0.5111641103132396,-0.34381055066297883,0.12450795691889988,1193
24,0.2406984329223633,0.002611399607212866,0.01174302101135254,0.00028499970566485557,squared_error,4,1,16,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 1, 'min_samples_split': 16, 'n_estimators': 100}",-0.18049988959575458,-0.26130283737878507,-0.4192000518878309,-0.4652298078036435,-0.2637318146221636,-0.2500447063737381,-0.28097371168774826,-0.5720530266664341,-0.261945869026211,-0.477909499709946,-0.3432891214752255,0.12240648541882533,1191
