,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_drop,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,185.77932813167573,8.970955395123987,0.1406250476837158,0.017457194830654794,tanh,0,1,5,"{'activ': 'tanh', 'drop': 0, 'n_layer': 1, 'n_neur': 5}",-0.08591400432865935,-0.15360981968857887,-0.2212509839133673,-0.23942876187615791,-0.10253978321843764,-0.10664853595757942,-0.24884670520163726,-0.4965446379109546,-0.15492467191787979,-0.34015627531897125,-0.21498641793322232,0.12047458108791809,5
1,194.0288762331009,10.392561298718153,0.1581735134124756,0.04272895282298985,tanh,0,1,10,"{'activ': 'tanh', 'drop': 0, 'n_layer': 1, 'n_neur': 10}",-0.08539532088323513,-0.15402870049428524,-0.22159940256052327,-0.24008316290405615,-0.10180616429629354,-0.10688394347209705,-0.2486345928696921,-0.49640113373659206,-0.1558381183893483,-0.3402270256500609,-0.21508975652561838,0.12049450404086859,6
2,226.8000334739685,23.425133811217584,0.15948078632354737,0.04560277878113994,tanh,0,1,15,"{'activ': 'tanh', 'drop': 0, 'n_layer': 1, 'n_neur': 15}",-0.08517132006445403,-0.1528545458535103,-0.22110510456699536,-0.23899560114363105,-0.10183290129400761,-0.10644311596223908,-0.24796446643079356,-0.4951181921416548,-0.1547430590809976,-0.33962925736370325,-0.21438575639019866,0.12026405508963027,2
3,207.02261397838592,18.647401563722838,0.158270263671875,0.03838849173430676,tanh,0,2,5,"{'activ': 'tanh', 'drop': 0, 'n_layer': 2, 'n_neur': 5}",-0.08386852549198522,-0.15396118344321122,-0.22290750823711947,-0.23794156221516674,-0.09962507662431286,-0.10653099629464786,-0.24798064351184798,-0.49597534723447634,-0.15949587752845412,-0.335658631235917,-0.2143945351817139,0.12010718464440792,3
4,239.54333245754242,24.394757330260255,0.15710244178771973,0.03384916633251767,tanh,0,2,10,"{'activ': 'tanh', 'drop': 0, 'n_layer': 2, 'n_neur': 10}",-0.08408397946071287,-0.1559850088165186,-0.216336239517786,-0.23910937618510508,-0.09936603322285181,-0.1061217294373341,-0.24827089221369,-0.49487124782569014,-0.15784584941220187,-0.3353931995295715,-0.2137383555621462,0.11983763300038808,1
5,242.4293661594391,16.951281126100003,0.17024147510528564,0.02498604064514155,tanh,0,2,15,"{'activ': 'tanh', 'drop': 0, 'n_layer': 2, 'n_neur': 15}",-0.0840879872358689,-0.15513648657487428,-0.22332928383336223,-0.24044334946543716,-0.09947884704286986,-0.106982122674867,-0.24764493363310763,-0.49536711456224564,-0.15993456568835523,-0.33662440556007167,-0.21490290962710595,0.11997806023076078,4
6,214.44772295951844,24.325618349805417,0.17263731956481934,0.03547712205804879,tanh,0,3,5,"{'activ': 'tanh', 'drop': 0, 'n_layer': 3, 'n_neur': 5}",-0.08618688386723919,-0.15741285127340848,-0.22461283024699094,-0.23895175633092222,-0.100827049852274,-0.10762315725645877,-0.2490678346727797,-0.49264993663768086,-0.15928156665941143,-0.3349593602705362,-0.21515732270677015,0.11869502505425224,7
7,257.40763649940493,10.959831434094973,0.19769103527069093,0.038589640234778094,tanh,0,3,10,"{'activ': 'tanh', 'drop': 0, 'n_layer': 3, 'n_neur': 10}",-0.08541537965022779,-0.1606946912448986,-0.2242644145441199,-0.23992698333191154,-0.10076651990783919,-0.10943879888012976,-0.24924249298251577,-0.496619440217989,-0.15883693263008364,-0.3337991768805075,-0.21590048302702222,0.11932408085642537,8
8,250.4478162050247,18.803142801791562,0.18566570281982422,0.037291448613111365,tanh,0,3,15,"{'activ': 'tanh', 'drop': 0, 'n_layer': 3, 'n_neur': 15}",-0.6140190361792146,-0.161016282918726,-0.22557165328610795,-0.24297059838126986,-0.10100005954651241,-0.10899589217538716,-0.24958600515260412,-0.49462765936546454,-0.16266538130441824,-0.9090569232429887,-0.3269509491552694,0.2501537525107113,35
9,215.56728599071502,23.755678813600614,0.18921523094177245,0.042423165742280854,tanh,0,4,5,"{'activ': 'tanh', 'drop': 0, 'n_layer': 4, 'n_neur': 5}",-0.0865755361176045,-0.15826410032571875,-0.22146366054686437,-1.070756823791804,-0.10191615647622065,-0.11279185163809788,-0.25031049820967977,-0.4952683928893611,-0.16033556668105506,-0.3334625932169678,-0.29911451798933736,0.28308550918397385,26
10,280.3046491384506,28.09593207953155,0.17947328090667725,0.0325796787505859,tanh,0,4,10,"{'activ': 'tanh', 'drop': 0, 'n_layer': 4, 'n_neur': 10}",-0.6143150988125584,-0.15613463535698852,-0.22624782609834865,-0.24024299522498316,-0.10245430928362614,-0.1104998071313294,-0.2502333463013416,-0.49450102841676297,-0.1624478261135188,-0.3348225900714581,-0.2691899462810915,0.15949423794366063,23
11,259.0360091686249,4.908393667492041,0.202140212059021,0.02846122882588161,tanh,0,4,15,"{'activ': 'tanh', 'drop': 0, 'n_layer': 4, 'n_neur': 15}",-0.08645085486287765,-0.757574127051759,-0.22509122409171545,-1.0715659822459784,-0.8685541226236514,-0.7280592061182652,-0.686270000185463,-0.9867910330621515,-0.15932984844269987,-0.9096011670235123,-0.6479287565708074,0.34119424044414337,56
