,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
55,112.15971674919129,30.214573038185527,0.12511956691741943,0.019872375865907756,0.01,1e-07,0.05,-2,"{'d_c': 0.01, 'eps': 1e-07, 'l_r': 0.05, 'reg': -2}",-0.07866713167930502,-0.1588489264713424,-0.21668055276171103,-0.23430977455533342,-0.10115984635172501,-0.10433493485017645,-0.2456365652922203,-0.4986261354249649,-0.16428949912095245,-0.3365570679121864,-0.21391104344199174,0.12084693796086578,25
56,71.06282134056092,11.995732124369884,0.10396490097045899,0.015342834615905314,0.01,1e-07,0.1,-0.5,"{'d_c': 0.01, 'eps': 1e-07, 'l_r': 0.1, 'reg': -0.5}",-0.10959404265298833,-0.15974082714981602,-0.24425090389030604,-0.2570151348965287,-0.14218499663225462,-0.15057568186845302,-0.2695162498323042,-0.5025838518563887,-0.15959040150081655,-0.3681058846114741,-0.236315797489133,0.11570734336079126,65
57,105.53628358840942,30.450650772358895,0.13597428798675537,0.02772765743322194,0.01,1e-07,0.1,-1,"{'d_c': 0.01, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1}",-0.08504219514914724,-0.15261850962554474,-0.2216914707909978,-0.24296324772269987,-0.10448250754256533,-0.10915614605659336,-0.24948036991448738,-0.4968341480094118,-0.1531245284007981,-0.341712288436091,-0.21571054116483362,0.12063297649345606,42
58,73.705646443367,9.334788198387516,0.11959583759307861,0.025965054510907172,0.01,1e-07,0.1,-1.5,"{'d_c': 0.01, 'eps': 1e-07, 'l_r': 0.1, 'reg': -1.5}",-0.08178076611092781,-0.15727108050463298,-0.21346410881015923,-0.23173508386156544,-0.10082182131758127,-0.1024299386579956,-0.2447444292638429,-0.4985619682763938,-0.16116690996329913,-0.33296260345131573,-0.21249387102177136,0.12046309854550585,2
59,102.22384057044982,26.612142839008317,0.1382754325866699,0.020184198981761266,0.01,1e-07,0.1,-2,"{'d_c': 0.01, 'eps': 1e-07, 'l_r': 0.1, 'reg': -2}",-0.08017556247106324,-0.15905237035618733,-0.21627238677902202,-0.2341190822415591,-0.10323356856293396,-0.1070763192496781,-0.2456487412340655,-0.4992215749530763,-0.1576610791701467,-0.33774430245586595,-0.2140204987473598,0.12078069008033279,26
60,81.53544037342071,21.94555596888976,0.11623978614807129,0.01737992601575368,0.01,0.1,0.01,-0.5,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.01, 'reg': -0.5}",-0.11211362453059809,-0.3637464343764741,-0.23559712179545544,-0.3212240226665812,-0.12052575340392148,-0.12546442170238206,-0.2679498241525971,-0.491110151875931,-0.1588026689117096,-0.3561661298947621,-0.25527001533104127,0.12135512771024043,72
61,89.01144032478332,18.147025108292603,0.15088810920715331,0.021604867768157263,0.01,0.1,0.01,-1,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.01, 'reg': -1}",-0.10203044676663767,-0.1617126832617877,-0.233633159845075,-0.26193284474912387,-0.10349730058740823,-0.11571343981257164,-0.2662392698306104,-0.4908741137050753,-0.1597661876662129,-0.3529351300482718,-0.22483345762727747,0.11844159416257707,53
62,108.29506452083588,28.558587534979708,0.13398854732513427,0.015123319475827571,0.01,0.1,0.01,-1.5,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.01, 'reg': -1.5}",-0.08988062888530793,-0.15786077481021824,-0.23662351985270452,-0.23768078168728568,-0.10401778755527791,-0.12493590048633699,-0.2601903336587103,-0.5182542193017942,-0.1621265835670371,-0.35342058991279574,-0.22449911197174685,0.12465518458035828,52
63,69.11270842552184,6.646866375912139,0.12892279624938965,0.02812687629996585,0.01,0.1,0.01,-2,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.01, 'reg': -2}",-0.10076464414647013,-0.1566815345184867,-0.22277220578068932,-0.23621806454287453,-0.14885136410005587,-0.12458500590406157,-0.292075347277818,-0.49300396660499857,-0.1630789005976706,-0.36723140412479527,-0.23052624375979205,0.11670401008350738,57
64,113.00684280395508,29.8312350962634,0.12913546562194825,0.03177020359602221,0.01,0.1,0.05,-0.5,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.05, 'reg': -0.5}",-0.10254298699713198,-0.1564926495028758,-0.23662037443217426,-0.26061624749543544,-0.1238223597408008,-0.13467690823261028,-0.2657423208463575,-0.4986197369188103,-0.1555797710465177,-0.3611271879865596,-0.22958405431992732,0.11796399628048755,55
65,67.87737610340119,9.050650951987118,0.1397928237915039,0.04388894127661776,0.01,0.1,0.05,-1,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.05, 'reg': -1}",-0.08477569234143789,-0.15413619333496678,-0.2206665048741126,-0.2409279876087533,-0.10016041316891229,-0.10589539381679933,-0.24835327975942598,-0.4945245135588101,-0.1570086564400634,-0.33753688742430976,-0.2143985522327591,0.12003339166420399,29
66,98.98492343425751,22.07090787301471,0.13506662845611572,0.03952650184139316,0.01,0.1,0.05,-1.5,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.05, 'reg': -1.5}",-0.08193815956332863,-0.15596811921248255,-0.21298622061322603,-0.23737673854142113,-0.1023180693374297,-0.10575468019968882,-0.24561286407998478,-0.4943307533691684,-0.1571442710783533,-0.3382527278527081,-0.21316826038477915,0.1199143578884397,12
67,93.86118757724762,24.300235706823397,0.1280508279800415,0.022722656486252876,0.01,0.1,0.05,-2,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.05, 'reg': -2}",-0.07895335230889451,-0.1540458580493419,-0.21702331403238287,-0.235907040547706,-0.10084139066089422,-0.10589954866704808,-0.2468701570943443,-0.5005975912416639,-0.16009954727779688,-0.33608905903273945,-0.2136326858912812,0.12158947650369872,20
68,81.78000936508178,1.5384818234111894,0.14804506301879883,0.03591377429924355,0.01,0.1,0.1,-0.5,"{'d_c': 0.01, 'eps': 0.1, 'l_r': 0.1, 'reg': -0.5}",-0.11138389453311799,-0.15648302650042736,-0.2398033747480978,-0.25594490788662727,-0.13042200402813672,-0.1403708929926563,-0.2658890085046564,-0.5020643465900861,-0.15660568500814223,-0.36330723952517063,-0.23222743803171192,0.11687937575684716,61
