,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
20,93.0980803012848,24.78262657196576,0.12038376331329345,0.011473108361549666,tanh,0.001,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.090725573752767,-0.15048455968999144,-0.23013462010004485,-0.24029523741516026,-0.11424235605112554,-0.11159848404763359,-0.25213907334949587,-0.4950416605448822,-0.14735676041731763,-0.3377095826447237,-0.2169727908013142,0.11862387198322692,17
21,89.17421023845672,28.181732065273682,0.11620373725891113,0.016128944285018654,tanh,0.001,0.1,0.01,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.01}",-0.08446095233321547,-0.15296763997382354,-0.22050004540830934,-0.23709077220748592,-0.10199919057803421,-0.1064741909898803,-0.24863036029306076,-0.49340477940940347,-0.1548812603949358,-0.33893463825828923,-0.2139343829846438,0.11981513588475588,2
22,98.13541495800018,29.751555982707565,0.13931701183319092,0.034232359059394826,tanh,0.001,0.1,0.05,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.05}",-0.08865204204323367,-0.1505051963148235,-0.2236295993171017,-0.23407148216391047,-0.10702740106278039,-0.11001379322691268,-0.24860813242240895,-0.49382054436438527,-0.1640627285298937,-0.34409245993803683,-0.2164483379383487,0.11889098278120426,13
23,84.71726889610291,30.77563452444674,0.1305020570755005,0.04345436054303515,tanh,0.001,0.1,0.1,"{'activ': 'tanh', 'd_c': 0.001, 'eps': 0.1, 'l_r': 0.1}",-0.08503480362734453,-0.15096661282168247,-0.222791086939619,-0.24810331556195717,-0.10822949653561276,-0.10716288927942687,-0.24900552249465724,-0.4904020064924651,-0.1604989096877309,-0.34545711392587597,-0.2167651757366372,0.11922141168544335,16
24,98.11527013778687,29.66671576879531,0.14633500576019287,0.02692622886365869,tanh,0.005,1e-07,0.01,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.08484577959504082,-0.1532276172468199,-0.21555137217537837,-0.2371163737944264,-0.10050220675701699,-0.10569410711733024,-0.24782354282346564,-0.49488777798593114,-0.15584725589652457,-0.3409037590538854,-0.21363997924458192,0.12043660970876478,1
25,79.5521992444992,22.043921779574013,0.11720442771911621,0.016949348295237233,tanh,0.005,1e-07,0.05,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.0857266263164705,-0.1541518279111082,-0.22213074204783123,-0.2420823423253981,-0.10507864427444334,-0.10887905578402562,-0.2492826374174498,-0.49758978426131184,-0.153410521943787,-0.34302354845252103,-0.21613557307343462,0.12072507945104433,9
26,101.48178088665009,27.12684467595118,0.13158702850341797,0.019542417768853296,tanh,0.005,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.1}",-0.08565329017873126,-0.15402484816354747,-0.2230691845785173,-0.2365123629088538,-0.10559769578281679,-0.11039296648637188,-0.25113653393806873,-0.5001234820570797,-0.15581097208233236,-0.34528958246889613,-0.21676109186452153,0.12121752373106649,15
27,82.47908599376679,21.789417377998014,0.1243356704711914,0.024998641223555766,tanh,0.005,0.1,0.01,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.01}",-0.08512189060011553,-0.15669128502824556,-0.22207431351579524,-0.24404945593509167,-0.10257125239081157,-0.10898905602902412,-0.25057478193585225,-0.4932171170291977,-0.1556031956614023,-0.3394755992891134,-0.21583679474146492,0.11946805938108651,7
28,99.11921336650849,28.535833419268204,0.12859981060028075,0.027969255205513625,tanh,0.005,0.1,0.05,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.05}",-0.08498139018959196,-0.15433161005328094,-0.2211910161898386,-0.2394008228913352,-0.1021538496565658,-0.1069350908053039,-0.24874111925229586,-0.4941208357348669,-0.15379511408627236,-0.33913464756161066,-0.21447854964209623,0.11992961822315397,3
29,79.19690260887145,22.146429303715973,0.12633068561553956,0.02166256930271709,tanh,0.005,0.1,0.1,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.1}",-0.0863239306609919,-0.15430726420139973,-0.22327816885778093,-0.24047661062318848,-0.10541469330836678,-0.10833661315395722,-0.247792951471839,-0.4997514377688413,-0.15431580804860812,-0.3395689927645263,-0.21595664708594997,0.1207039165297694,8
30,100.80892236232758,27.34978768854878,0.12122702598571777,0.012367440902503324,tanh,0.01,1e-07,0.01,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.01}",-0.11700988580135943,-0.15490223203404938,-0.23813582403332817,-0.23920845678795183,-0.12386490772350917,-0.1113609898337198,-0.2642097256798588,-0.49289916575214715,-0.1603128213572447,-0.3427919838205943,-0.22446959928237628,0.11465428834528787,39
31,79.71357426643371,3.306779180916581,0.1210012674331665,0.008914158208360662,tanh,0.01,1e-07,0.05,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.05}",-0.08577546242052482,-0.15327334722874572,-0.2210369376693469,-0.23995833662732652,-0.10332545551787536,-0.10819492928620662,-0.250109365714222,-0.49781139698831156,-0.15409671313548284,-0.3405027079656593,-0.2154084652553702,0.12071473663988556,6
32,102.99758667945862,26.319843336322453,0.12311728000640869,0.013440794229952084,tanh,0.01,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.1}",-0.08650444669724305,-0.15446298413843848,-0.22135564409376943,-0.24113695177315367,-0.10437581339036825,-0.11035329907886594,-0.24968969826089246,-0.4985988739228186,-0.1538441261409728,-0.34180860532944185,-0.21621304428259647,0.12063393371229748,10
