,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_b_1,param_b_2,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
257,36.25739283561707,2.642991048633054,0.15066847801208497,0.03597901287956243,0.99,0.99,0.01,0.0001,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.0001, 'l_r': 0.05}",-0.10149012312380633,-0.12713631543049986,-0.2501969772821727,-0.23931837486038043,-0.12223356922362488,-0.16807507198409682,0.06329391141765306,172
258,36.211893224716185,2.6160485116245478,0.12618823051452638,0.012686501162889243,0.99,0.99,0.01,0.001,0.005,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.005}",-0.15400312953914655,-0.1456283400510591,-0.2770219265345467,-0.24051069309075282,-0.13974087383833814,-0.19138099261076866,0.05640072475327074,284
259,37.849208211898805,2.957750573282487,0.13910837173461915,0.020226174592879585,0.99,0.99,0.01,0.001,0.01,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.01}",-0.09948029509504437,-0.13565724566792547,-0.23994502503248485,-0.23695839636258056,-0.1280530273831524,-0.16801879790823754,0.05876752441325934,170
260,36.37780494689942,2.59271307394223,0.12622694969177245,0.014936795261068943,0.99,0.99,0.01,0.001,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.001, 'l_r': 0.05}",-0.09916976329916033,-0.1274866481063903,-0.24839651244576386,-0.22873293174146767,-0.10959817752609011,-0.16267680662377446,0.06292870935745518,22
261,36.094039821624754,2.7296094323701134,0.13259615898132324,0.01277736994889232,0.99,0.99,0.01,0.1,0.005,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.005}",-0.15970812416255872,-0.1564030661698061,-0.281049718821957,-0.2541804916916266,-0.18773251341545216,-0.2078147828522801,0.05074218673041084,321
262,37.54847445487976,3.119509926131812,0.11571316719055176,0.008908088572649416,0.99,0.99,0.01,0.1,0.01,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.01}",-0.14488255827036373,-0.1454932077169426,-0.250554294090583,-0.25771274771815145,-0.18169623234576,-0.19606780802836013,0.04930139537541635,300
263,36.88572549819946,3.7234970843618838,0.13909687995910644,0.020701862108937527,0.99,0.99,0.01,0.1,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.05}",-0.08915275445320522,-0.12840536775555117,-0.24365857841565547,-0.23542024538687095,-0.10736322236413824,-0.16080003367508422,0.06553160189626805,6
264,35.6101655960083,2.9428025469897783,0.1490767002105713,0.03193710668759015,0.99,0.99,0.005,1e-07,0.005,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.005}",-0.09261965164190776,-0.1271166655426536,-0.22963740916924658,-0.23864164278726838,-0.13259665531514123,-0.1641224048912435,0.058857920376882825,65
265,35.08793716430664,0.33798145634011656,0.13186731338500976,0.024115028378356867,0.99,0.99,0.005,1e-07,0.01,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.09351365911722305,-0.13393189347878864,-0.24263150494465524,-0.23923233952921077,-0.12306738359202249,-0.16647535613238004,0.06222551873276078,126
266,38.80273952484131,3.279781582979966,0.13710603713989258,0.028194244913059847,0.99,0.99,0.005,1e-07,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.12240920995331116,-0.13125912689209307,-0.2355772994055056,-0.2306549964077393,-0.13229994912063803,-0.17044011635585743,0.05131369146192109,211
267,36.115598392486575,2.6479357447614937,0.13568835258483886,0.03755669915053026,0.99,0.99,0.005,0.0001,0.005,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.005}",-0.0996100635788074,-0.13831173966946278,-0.24488902794324274,-0.2364393661715135,-0.12392118721269983,-0.16863427691514526,0.060158749764063775,178
268,36.16138319969177,2.717885814053924,0.14932403564453126,0.017821753491395424,0.99,0.99,0.005,0.0001,0.01,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.01}",-0.09750524829734904,-0.13341453765174244,-0.24186634268618637,-0.23567041193564708,-0.11034552590049104,-0.1637604132942832,0.0623463765801172,49
269,36.713226556777954,2.3194281175390765,0.14180493354797363,0.031004359365610565,0.99,0.99,0.005,0.0001,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.0001, 'l_r': 0.05}",-0.10099044921595397,-0.1287873153468397,-0.24403936972259935,-0.23738959937154447,-0.12407225427814073,-0.16705579758701566,0.060909779241041975,149
270,35.5960967540741,0.3854334734900667,0.13768696784973145,0.021412469774791703,0.99,0.99,0.005,0.001,0.005,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.005}",-0.08857422508389648,-0.13682338833361624,-0.24811157824626406,-0.24393853130144383,-0.13723005797610516,-0.17093555618826514,0.06382579764143842,218
271,38.15690588951111,2.6434383660614684,0.12943606376647948,0.020549946253907384,0.99,0.99,0.005,0.001,0.01,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.01}",-0.09807688886587079,-0.13468650374899624,-0.24802522049857362,-0.24017401940042837,-0.11154694829604218,-0.16650191616198223,0.06447926994959116,127
272,35.920346927642825,0.4438304732285968,0.13166446685791017,0.016181707200167834,0.99,0.99,0.005,0.001,0.05,"{'b_1': 0.99, 'b_2': 0.99, 'd_c': 0.005, 'eps': 0.001, 'l_r': 0.05}",-0.12257360274178776,-0.12588125180636298,-0.2477421495906876,-0.24274867051533056,-0.12438729186914967,-0.17266659330466372,0.05929064602036992,237
