,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,191.61477947235107,10.864955353291055,0.15210216045379638,0.029011621014518298,0.001,1e-07,0.01,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.01}",-0.07919871406931828,-0.1524828894821499,-0.2151249086418047,-0.2381616111458105,-0.10034353484761398,-0.11605324279679306,-0.2410981122355598,-0.5024252825964605,-0.14610792829616706,-0.3437983130776274,-0.21347945371893048,0.12264983770332186,31
1,170.9049729824066,6.564359175609319,0.1531604051589966,0.027361223237228293,0.001,1e-07,0.03,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.03}",-0.08414562523758648,-0.15168467414186387,-0.2233187827008635,-0.2300804231188705,-0.10867967972114997,-0.10738774284786151,-0.24241290376063454,-0.5018908043908678,-0.15429994455708435,-0.3372723845986049,-0.21411729650753872,0.12082953679953541,44
2,195.63163633346556,11.251066873176596,0.1333094596862793,0.029195903063385983,0.001,1e-07,0.05,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.05}",-0.08831905259078326,-0.1491131642882576,-0.21864979604213108,-0.23119918583913443,-0.10491690271981204,-0.1065260891756541,-0.24168793129390417,-0.5165726911425027,-0.14196126013557459,-0.3337179090419715,-0.21326639822697255,0.12474238623772449,30
3,185.87506370544435,21.602224839677657,0.12461426258087158,0.019577527758258807,0.001,1e-07,0.07,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.07}",-0.08651959114233425,-0.15063605887242312,-0.21263657636434566,-0.24066947278031917,-0.10560252599544946,-0.11792879879609532,-0.2455456738140886,-0.5110353651169907,-0.14217659249429196,-0.342644185171532,-0.21553948405478698,0.12363996815377026,53
4,173.663276720047,23.769918082647404,0.13348727226257323,0.016452345191040305,0.001,1e-07,0.1,"{'d_c': 0.001, 'eps': 1e-07, 'l_r': 0.1}",-0.0908774544945451,-0.1489599510707428,-0.21539040379346377,-0.22955763364812054,-0.10125903649344138,-0.10885934219451064,-0.249685501879513,-0.5057284332567037,-0.1452444186377889,-0.3403897892580641,-0.21359519647268937,0.12266924190401568,34
5,182.27397570610046,20.493668683695912,0.13100199699401854,0.025756243121304388,0.001,0.1,0.01,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.01}",-0.07880803460879904,-0.1524789805999463,-0.21723963209526642,-0.2354723484115365,-0.1055660144083535,-0.11142051402709818,-0.24226048075282583,-0.4945127783975368,-0.16154312180020755,-0.33991188833569563,-0.2139213793437266,0.11954299643637423,41
6,184.28285458087922,18.545688623891525,0.13781518936157228,0.026910171711200196,0.001,0.1,0.03,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.03}",-0.07855650142837398,-0.14671574940748525,-0.21902281986808414,-0.2297563645945309,-0.10333134282626392,-0.101299426316993,-0.2410164144066409,-0.5004778167531805,-0.14990168071850105,-0.3359207007630874,-0.21059988170831406,0.12237305435481258,9
7,178.36013610363005,12.279898816009718,0.1416017770767212,0.010342950298540163,0.001,0.1,0.05,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.05}",-0.08534120593153875,-0.14338582386940874,-0.21381872975939603,-0.23637783958464395,-0.10181326781625973,-0.10259937444790827,-0.23824879758171913,-0.5005986799056719,-0.15690381672167505,-0.3368453989102519,-0.21159329345284733,0.12167828947628889,14
8,188.5012692928314,14.62066257162038,0.14604403972625732,0.01832259861895375,0.001,0.1,0.07,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.07}",-0.0802701726032373,-0.15284946174737182,-0.21759801601356568,-0.23771172199517834,-0.10509402918914251,-0.10087084212649071,-0.2428338052900444,-0.49513907660041767,-0.16545767581318713,-0.3417951026480282,-0.2139619904026664,0.12058833407631596,42
9,182.78729555606841,19.95788559307895,0.14371025562286377,0.017104266548951613,0.001,0.1,0.1,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1}",-0.08436048780725301,-0.15195258145163154,-0.21357162097646595,-0.23847727145803924,-0.10785574457942806,-0.10339720401437899,-0.24215385369003162,-0.47686934985755813,-0.15683077913997093,-0.34231442890838426,-0.2117783321883142,0.11590154270269246,18
