,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
176,1.0909985065460206,0.051098914868303154,0.14250082969665528,0.003986784397779388,0.1,4,0.1,scale,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",-0.16737814353802077,-0.28036088673048914,-0.21272147272755373,-0.4036028988692419,-0.3046097534155188,-0.27373463105616486,0.08111381553861834,101
177,1.4716583251953126,0.030073950953862966,0.20094871520996094,0.0035012632076193576,0.1,4,0.1,scale,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",-0.6640198596367649,-1.4948094547127264,-0.8052709311965377,-0.6648996152982567,-0.8897255299041275,-0.9037450781496826,0.30782012218462806,258
178,1.2012940883636474,0.022242787498901295,0.316455078125,0.006979657639497562,0.1,4,0.1,scale,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.14418082217326345,-0.2882237947369684,-0.15055462318631718,-0.3815292681481281,-0.2940148579847494,-0.25170067324588535,0.09140124124451401,33
179,2.6286285877227784,0.06801703146105541,0.49325265884399416,0.007186908204630263,0.1,4,0.1,scale,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.142306861139714,-14.0051850918904,-10.070529955232903,-14.323054000014839,-15.323281655734542,-11.97287151280248,3.4203301563352757,321
180,1.1055514812469482,0.03576388315268906,0.14474239349365234,0.007151488016934949,0.1,4,0.1,auto,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",-0.16737814353802077,-0.28036088673048914,-0.21272147272755373,-0.4036028988692419,-0.3046097534155188,-0.27373463105616486,0.08111381553861834,101
181,1.7842233657836915,0.08960555334726907,0.20206470489501954,0.00639257544849161,0.1,4,0.1,auto,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",-0.6618071809899206,-1.4808981569216397,-0.8001445555630181,-0.6677558136932408,-0.8876139328459998,-0.8996439280027639,0.3027341210775983,255
182,1.2013261318206787,0.0317311894166649,0.3145604610443115,0.014788822505777805,0.1,4,0.1,auto,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",-0.14577953439365646,-0.2915591971453277,-0.15428394461170208,-0.3850641430570666,-0.3001405189671746,-0.25536546763498547,0.09204682367685474,45
183,2.645295429229736,0.07157209737172408,0.5062107086181641,0.002376397011381174,0.1,4,0.1,auto,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.63687348009559,-20.77877616128545,-16.040865838672843,-19.17427632621785,-21.698517396816204,-17.665861840617588,4.006872846542986,333
184,0.10138144493103027,0.014409909773848104,0.009594011306762695,0.0015566705349679608,0.1,4,1,scale,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'linear'}",-0.23031150327835276,-0.33722575866677323,-0.34956538415144056,-0.4359428848703511,-0.3849112913365875,-0.34759136446070105,0.06791859314927504,156
185,0.6713339328765869,0.018961765883135456,0.08528051376342774,0.0037594262702098334,0.1,4,1,scale,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'poly'}",-0.7554043468260637,-1.4980678450531724,-0.8676928929999989,-0.780335071914814,-0.9878687540946903,-0.9778737821777478,0.2725273500302315,271
186,0.10333881378173829,0.02002637019221008,0.027104902267456054,0.005197354586020305,0.1,4,1,scale,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2653763531403115,-0.7624767146368153,-0.35037919749452556,-0.5046469310117085,-0.4446548709112546,-0.46550681343892314,0.1693897538935867,205
187,2.5090354919433593,0.05010560022404196,0.46110782623291013,0.007072735739334806,0.1,4,1,scale,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.090003016160573,-13.990786674103221,-10.04130873944163,-14.257812531869108,-15.153519922191476,-11.906686176753201,3.39784153149157,313
188,0.10089845657348633,0.0158968910865532,0.009561777114868164,0.0017016541734874004,0.1,4,1,auto,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'linear'}",-0.23031150327835276,-0.33722575866677323,-0.34956538415144056,-0.4359428848703511,-0.3849112913365875,-0.34759136446070105,0.06791859314927504,156
189,0.8868632793426514,0.09982251614045043,0.08657565116882324,0.004899272629327543,0.1,4,1,auto,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'poly'}",-0.7545695179398503,-1.4944424356861943,-0.866531182073127,-0.807725695733017,-0.9823918810427441,-0.9811321424949865,0.2675902998207478,272
190,0.10281658172607422,0.01640344865740876,0.027336978912353517,0.003998587134172118,0.1,4,1,auto,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'rbf'}",-0.2704492167635142,-0.7933425982715999,-0.3665040009926211,-0.5204643428435238,-0.46520424937216626,-0.4831928816486851,0.17707724938545413,209
191,2.5971476554870607,0.06499948925467261,0.4902965545654297,0.004124687162597661,0.1,4,1,auto,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.641036904504213,-20.836520071622367,-16.020029515319273,-19.114714590530838,-21.571900672691196,-17.636840350933575,3.9865299561938885,325
192,2.2135135173797607,0.05609042018009201,0.18184332847595214,0.007873727419889032,1,1,0.01,scale,linear,"{'C': 1, 'degree': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.1665663628310513,-0.281005205762186,-0.20937282079050404,-0.4030193209277923,-0.3034175288621711,-0.272676247834741,0.08157247841489969,90
