date,O3
2021-04-28 09:09:19,40
2021-04-28 09:09:49,32
2021-04-28 09:10:19,33
2021-04-28 09:10:49,32
2021-04-28 09:11:19,32
2021-04-28 09:11:49,32
2021-04-28 09:12:19,43
2021-04-28 09:12:49,22
2021-04-28 09:13:19,38
2021-04-28 09:13:49,35
2021-04-28 09:14:19,42
2021-04-28 09:14:49,32
2021-04-28 09:15:19,50
2021-04-28 09:15:49,41
2021-04-28 09:16:19,48
2021-04-28 09:16:49,36
2021-04-28 09:17:19,47
2021-04-28 09:17:49,38
2021-04-28 09:18:19,43
2021-04-28 09:18:49,33
2021-04-28 09:19:19,48
2021-04-28 09:19:49,39
2021-04-28 09:20:19,40
2021-04-28 09:20:49,30
2021-04-28 09:21:19,30
2021-04-28 09:21:49,30
2021-04-28 09:22:19,28
2021-04-28 09:22:49,19
2021-04-28 09:23:19,24
2021-04-28 09:23:49,25
2021-04-28 09:24:19,23
2021-04-28 09:24:49,17
2021-04-28 09:25:19,16
2021-04-28 09:25:50,22
2021-04-28 09:26:20,27
2021-04-28 09:26:50,20
2021-04-28 09:27:20,36
2021-04-28 09:27:50,42
2021-04-28 09:28:20,46
2021-04-28 09:28:50,34
2021-04-28 09:29:20,34
2021-04-28 09:29:50,49
2021-04-28 09:30:20,43
2021-04-28 09:30:50,40
2021-04-28 09:31:20,40
2021-04-28 09:31:50,40
2021-04-28 09:32:20,32
2021-04-28 09:32:50,40
2021-04-28 09:33:20,31
2021-04-28 09:33:50,49
2021-04-28 09:34:20,41
2021-04-28 09:34:50,41
2021-04-28 09:35:20,35
2021-04-28 09:35:50,52
2021-04-28 09:36:20,46
2021-04-28 09:36:50,41
2021-04-28 09:37:20,33
2021-04-28 09:37:50,52
2021-04-28 09:38:20,41
2021-04-28 09:38:50,48
2021-04-28 09:39:20,35
2021-04-28 09:39:50,53
2021-04-28 09:40:20,42
2021-04-28 09:40:50,49
2021-04-28 09:41:20,49
2021-04-28 09:41:50,49
2021-04-28 09:42:20,27
2021-04-28 09:42:50,45
2021-04-28 09:43:20,38
2021-04-28 09:43:51,55
2021-04-28 09:44:21,46
2021-04-28 09:44:51,53
2021-04-28 09:45:21,32
2021-04-28 09:45:51,38
2021-04-28 09:46:21,46
2021-04-28 09:46:51,47
2021-04-28 09:47:21,35
2021-04-28 09:47:51,43
2021-04-28 09:48:21,49
2021-04-28 09:48:51,54
2021-04-28 09:49:21,40
2021-04-28 09:49:51,47
2021-04-28 09:50:21,49
2021-04-28 09:50:51,53
2021-04-28 09:51:21,53
2021-04-28 09:51:51,53
2021-04-28 09:52:21,24
2021-04-28 09:52:51,45
2021-04-28 09:53:21,39
2021-04-28 09:53:51,40
2021-04-28 09:54:21,58
2021-04-28 09:54:51,51
2021-04-28 09:55:21,45
2021-04-28 09:55:51,38
2021-04-28 09:56:21,56
2021-04-28 09:56:51,49
2021-04-28 09:57:21,47
2021-04-28 09:57:51,41
2021-04-28 09:58:21,60
2021-04-28 09:58:51,50
2021-04-28 09:59:21,47
2021-04-28 09:59:51,40
2021-04-28 10:00:21,63
2021-04-28 10:00:51,53
2021-04-28 10:01:21,53
2021-04-28 10:01:51,53
2021-04-28 10:02:22,20
2021-04-28 10:02:52,47
2021-04-28 10:03:22,55
2021-04-28 10:03:52,38
2021-04-28 10:04:22,58
2021-04-28 10:04:52,48
2021-04-28 10:05:22,54
2021-04-28 10:05:52,38
2021-04-28 10:06:22,54
2021-04-28 10:06:52,43
2021-04-28 10:07:22,40
2021-04-28 10:07:52,33
2021-04-28 10:08:22,47
2021-04-28 10:08:52,42
2021-04-28 10:09:22,52
2021-04-28 10:09:52,39
2021-04-28 10:10:22,47
2021-04-28 10:10:52,51
2021-04-28 10:11:22,51
2021-04-28 10:11:52,51
2021-04-28 10:12:22,16
2021-04-28 10:12:52,52
2021-04-28 10:13:22,56
2021-04-28 10:13:52,39
2021-04-28 10:14:22,50
2021-04-28 10:14:52,55
2021-04-28 10:15:22,60
2021-04-28 10:15:52,42
2021-04-28 10:16:22,48
2021-04-28 10:16:52,53
2021-04-28 10:17:22,57
2021-04-28 10:17:52,41
2021-04-28 10:18:22,36
2021-04-28 10:18:52,58
2021-04-28 10:19:22,50
2021-04-28 10:19:52,47
2021-04-28 10:20:23,39
2021-04-28 10:20:53,57
2021-04-28 10:21:23,57
2021-04-28 10:21:53,57
2021-04-28 10:22:23,42
2021-04-28 10:22:53,51
2021-04-28 10:23:23,42
2021-04-28 10:23:53,42
2021-04-28 10:24:23,41
2021-04-28 10:24:53,58
2021-04-28 10:25:23,50
2021-04-28 10:25:53,47
2021-04-28 10:26:23,37
2021-04-28 10:26:53,55
2021-04-28 10:27:23,46
2021-04-28 10:27:53,53
2021-04-28 10:28:23,39
2021-04-28 10:28:53,56
2021-04-28 10:29:23,48
2021-04-28 10:29:53,54
2021-04-28 10:30:23,39
2021-04-28 10:30:53,52
2021-04-28 10:31:23,52
2021-04-28 10:31:53,52
2021-04-28 10:32:23,40
2021-04-28 10:32:53,52
2021-04-28 10:33:23,43
2021-04-28 10:33:53,55
2021-04-28 10:34:23,42
2021-04-28 10:34:53,49
2021-04-28 10:35:23,58
2021-04-28 10:35:53,64
2021-04-28 10:36:23,45
2021-04-28 10:36:53,52
2021-04-28 10:37:23,57
2021-04-28 10:37:53,62
2021-04-28 10:38:24,42
2021-04-28 10:38:54,51
2021-04-28 10:39:24,55
2021-04-28 10:39:54,62
2021-04-28 10:40:24,45
2021-04-28 10:40:54,49
2021-04-28 10:41:24,49
2021-04-28 10:41:54,49
2021-04-28 10:42:24,51
2021-04-28 10:42:54,21
2021-04-28 10:43:24,57
2021-04-28 10:43:54,51
2021-04-28 10:44:24,47
2021-04-28 10:44:54,41
2021-04-28 10:45:24,60
2021-04-28 10:45:54,51
2021-04-28 10:46:24,47
2021-04-28 10:46:54,40
2021-04-28 10:47:24,60
2021-04-28 10:47:54,52
2021-04-28 10:48:24,49
2021-04-28 10:48:54,34
2021-04-28 10:49:24,60
2021-04-28 10:49:54,52
2021-04-28 10:50:24,48
2021-04-28 10:50:54,42
2021-04-28 10:51:24,42
2021-04-28 10:51:54,42
2021-04-28 10:52:24,55
2021-04-28 10:52:54,34
2021-04-28 10:53:24,55
2021-04-28 10:53:54,47
2021-04-28 10:54:24,53
2021-04-28 10:54:54,39
2021-04-28 10:55:24,57
2021-04-28 10:55:55,47
2021-04-28 10:56:25,53
2021-04-28 10:56:55,38
2021-04-28 10:57:25,55
2021-04-28 10:57:55,47
2021-04-28 10:58:25,53
2021-04-28 10:58:55,38
2021-04-28 10:59:25,48
2021-04-28 10:59:55,53
2021-04-28 11:00:25,56
2021-04-28 11:00:55,42
2021-04-28 11:01:25,42
2021-04-28 11:01:55,42
2021-04-28 11:02:25,42
2021-04-28 11:02:55,45
2021-04-28 11:03:25,47
2021-04-28 11:03:55,49
2021-04-28 11:04:25,45
2021-04-28 11:04:55,35
2021-04-28 11:05:25,46
2021-04-28 11:05:55,46
2021-04-28 11:06:25,47
2021-04-28 11:06:55,32
2021-04-28 11:07:25,35
2021-04-28 11:07:55,49
2021-04-28 11:08:25,42
2021-04-28 11:08:55,39
2021-04-28 11:09:25,37
2021-04-28 11:09:55,50
2021-04-28 11:10:25,43
2021-04-28 11:10:55,39
2021-04-28 11:11:25,39
2021-04-28 11:11:55,39
2021-04-28 11:12:25,31
2021-04-28 11:12:55,35
2021-04-28 11:13:25,30
2021-04-28 11:13:55,48
2021-04-28 11:14:25,42
2021-04-28 11:14:55,40
2021-04-28 11:15:26,34
2021-04-28 11:15:56,49
2021-04-28 11:16:26,41
2021-04-28 11:16:56,45
2021-04-28 11:17:26,34
2021-04-28 11:17:56,47
2021-04-28 11:18:26,38
2021-04-28 11:18:56,43
2021-04-28 11:19:26,34
2021-04-28 11:19:56,48
2021-04-28 11:20:26,43
2021-04-28 11:20:56,48
2021-04-28 11:21:26,48
2021-04-28 11:21:56,48
2021-04-28 11:22:26,28
2021-04-28 11:22:56,41
2021-04-28 11:23:26,34
2021-04-28 11:23:56,42
2021-04-28 11:24:26,47
2021-04-28 11:24:56,50
2021-04-28 11:25:26,38
2021-04-28 11:25:56,45
2021-04-28 11:26:26,48
2021-04-28 11:26:56,54
2021-04-28 11:27:26,39
2021-04-28 11:27:56,46
2021-04-28 11:28:26,51
2021-04-28 11:28:56,54
2021-04-28 11:29:26,40
2021-04-28 11:29:56,50
2021-04-28 11:30:26,52
2021-04-28 11:30:56,56
2021-04-28 11:31:26,56
2021-04-28 11:31:56,56
2021-04-28 11:32:26,23
2021-04-28 11:32:56,47
2021-04-28 11:33:27,46
2021-04-28 11:33:57,40
2021-04-28 11:34:27,57
2021-04-28 11:34:57,52
2021-04-28 11:35:27,47
2021-04-28 11:35:57,38
2021-04-28 11:36:57,54
2021-04-28 11:37:27,49
2021-04-28 11:37:57,43
2021-04-28 11:38:27,57
2021-04-28 11:38:57,51
2021-04-28 11:39:27,46
2021-04-28 11:39:57,38
2021-04-28 11:40:27,56
2021-04-28 11:40:57,47
2021-04-28 11:41:27,47
2021-04-28 11:41:57,47
2021-04-28 11:42:27,23
2021-04-28 11:42:57,49
2021-04-28 11:43:27,53
2021-04-28 11:43:57,43
2021-04-28 11:44:27,56
2021-04-28 11:44:57,49
2021-04-28 11:45:27,52
2021-04-28 11:45:57,40
2021-04-28 11:46:27,54
2021-04-28 11:46:57,48
2021-04-28 11:47:27,52
2021-04-28 11:47:57,40
2021-04-28 11:48:27,54
2021-04-28 11:48:57,56
2021-04-28 11:49:27,56
2021-04-28 11:49:57,45
2021-04-28 11:50:27,53
2021-04-28 11:50:58,56
2021-04-28 11:51:28,56
2021-04-28 11:51:58,56
2021-04-28 11:52:58,61
2021-04-28 11:53:28,64
2021-04-28 11:53:58,48
2021-04-28 11:54:28,52
2021-04-28 11:54:58,54
2021-04-28 11:55:28,57
2021-04-28 11:55:58,42
2021-04-28 11:56:28,41
2021-04-28 11:56:58,53
2021-04-28 11:57:28,51
2021-04-28 11:57:58,49
2021-04-28 11:58:28,47
2021-04-28 11:58:58,64
2021-04-28 11:59:28,56
2021-04-28 11:59:58,51
2021-04-28 12:00:28,46
2021-04-28 12:00:58,61
2021-04-28 12:01:28,61
2021-04-28 12:01:58,61
2021-04-28 12:02:58,54
2021-04-28 12:03:28,51
2021-04-28 12:03:58,47
2021-04-28 12:04:28,42
2021-04-28 12:04:58,60
2021-04-28 12:05:28,52
2021-04-28 12:05:58,56
2021-04-28 12:06:28,45
2021-04-28 12:06:58,60
2021-04-28 12:07:28,50
2021-04-28 12:07:58,55
2021-04-28 12:08:28,47
2021-04-28 12:08:58,58
2021-04-28 12:09:29,53
2021-04-28 12:09:59,58
2021-04-28 12:10:29,48
2021-04-28 12:10:59,61
2021-04-28 12:12:59,51
2021-04-28 12:13:29,52
2021-04-28 12:13:59,56
2021-04-28 12:14:29,43
2021-04-28 12:14:59,52
2021-04-28 12:15:29,57
2021-04-28 12:15:59,63
2021-04-28 12:16:29,48
2021-04-28 12:16:59,51
2021-04-28 12:17:29,55
2021-04-28 12:17:59,57
2021-04-28 12:18:29,43
2021-04-28 12:18:59,48
2021-04-28 12:19:29,50
2021-04-28 12:20:29,41
2021-04-28 12:20:59,43
2021-04-28 12:21:29,43
2021-04-28 12:21:59,43
2021-04-28 12:22:29,56
2021-04-28 12:22:59,27
2021-04-28 12:23:29,61
2021-04-28 12:23:59,56
2021-04-28 12:24:29,52
2021-04-28 12:24:59,47
2021-04-28 12:25:29,63
2021-04-28 12:25:59,56
2021-04-28 12:26:29,53
2021-04-28 12:27:00,46
2021-04-28 12:27:30,63
2021-04-28 12:28:00,57
2021-04-28 12:28:30,53
2021-04-28 12:29:00,48
2021-04-28 12:29:30,62
2021-04-28 12:30:00,54
2021-04-28 12:30:30,58
2021-04-28 12:31:00,47
2021-04-28 12:31:30,47
2021-04-28 12:32:00,47
2021-04-28 12:32:30,57
2021-04-28 12:33:00,39
2021-04-28 12:34:00,57
2021-04-28 12:34:30,62
2021-04-28 12:35:00,51
2021-04-28 12:35:30,64
2021-04-28 12:36:00,55
2021-04-28 12:36:30,61
2021-04-28 12:37:00,48
2021-04-28 12:37:30,61
2021-04-28 12:38:00,63
2021-04-28 12:38:30,69
2021-04-28 12:39:00,52
2021-04-28 12:39:30,64
2021-04-28 12:40:00,65
2021-04-28 12:40:30,69
2021-04-28 12:41:00,53
2021-04-28 12:41:30,53
2021-04-28 12:42:00,53
2021-04-28 12:42:30,58
2021-04-28 12:44:00,70
2021-04-28 12:44:30,75
2021-04-28 12:45:01,57
2021-04-28 12:45:31,54
2021-04-28 12:46:01,78
2021-04-28 12:46:31,68
2021-04-28 12:47:01,64
2021-04-28 12:47:31,54
2021-04-28 12:48:01,73
2021-04-28 12:48:31,67
2021-04-28 12:49:01,61
2021-04-28 12:49:31,55
2021-04-28 12:50:01,73
2021-04-28 12:50:31,68
2021-04-28 12:51:01,58
2021-04-28 12:51:31,58
2021-04-28 12:52:01,58
2021-04-28 12:52:31,51
2021-04-28 12:53:31,57
2021-04-28 12:54:31,71
2021-04-28 12:55:01,77
2021-04-28 12:55:31,62
2021-04-28 12:56:01,82
2021-04-28 12:56:31,71
2021-04-28 12:57:01,76
2021-04-28 12:57:31,63
2021-04-28 12:58:01,78
2021-04-28 12:58:31,69
2021-04-28 12:59:01,73
2021-04-28 12:59:31,60
2021-04-28 13:00:01,79
2021-04-28 13:00:31,69
2021-04-28 13:01:01,70
2021-04-28 13:01:31,70
2021-04-28 13:02:01,70
2021-04-28 13:02:31,43
2021-04-28 13:03:01,68
2021-04-28 13:03:31,62
2021-04-28 13:04:01,75
2021-04-28 13:05:02,83
2021-04-28 13:05:32,67
2021-04-28 13:06:02,75
2021-04-28 13:06:32,77
2021-04-28 13:07:02,83
2021-04-28 13:07:32,64
2021-04-28 13:08:02,73
2021-04-28 13:08:32,77
2021-04-28 13:09:02,80
2021-04-28 13:09:32,66
2021-04-28 13:10:02,63
2021-04-28 13:10:32,84
2021-04-28 13:11:02,78
2021-04-28 13:11:32,78
2021-04-28 13:12:02,78
2021-04-28 13:12:32,42
2021-04-28 13:13:02,73
2021-04-28 13:13:32,72
2021-04-28 13:14:02,64
2021-04-28 13:14:32,83
2021-04-28 13:15:02,78
2021-04-28 13:15:32,71
2021-04-28 13:16:02,64
2021-04-28 13:16:32,85
2021-04-28 13:17:02,77
2021-04-28 13:17:32,71
2021-04-28 13:18:02,66
2021-04-28 13:18:32,81
2021-04-28 13:19:02,73
2021-04-28 13:19:32,81
2021-04-28 13:20:02,65
2021-04-28 13:20:32,80
2021-04-28 13:21:02,71
2021-04-28 13:21:32,71
2021-04-28 13:22:02,71
2021-04-28 13:22:33,35
2021-04-28 13:23:03,69
2021-04-28 13:23:33,73
2021-04-28 13:24:03,61
2021-04-28 13:24:33,77
2021-04-28 13:25:03,68
2021-04-28 13:25:33,73
2021-04-28 13:26:03,58
2021-04-28 13:26:33,68
2021-04-28 13:27:03,70
2021-04-28 13:27:33,73
2021-04-28 13:28:03,58
2021-04-28 13:28:33,68
2021-04-28 13:29:03,68
2021-04-28 13:29:33,73
2021-04-28 13:30:03,56
2021-04-28 13:30:33,68
2021-04-28 13:31:03,66
2021-04-28 13:31:33,66
2021-04-28 13:32:03,66
2021-04-28 13:32:33,32
2021-04-28 13:33:03,65
2021-04-28 13:33:33,69
2021-04-28 13:34:03,55
2021-04-28 13:34:33,52
2021-04-28 13:35:03,70
2021-04-28 13:35:33,65
2021-04-28 13:36:03,61
2021-04-28 13:36:33,54
2021-04-28 13:37:03,77
2021-04-28 13:37:33,70
2021-04-28 13:38:03,66
2021-04-28 13:38:33,55
2021-04-28 13:39:03,70
2021-04-28 13:39:34,64
2021-04-28 13:40:04,61
2021-04-28 13:40:34,55
2021-04-28 13:41:04,76
2021-04-28 13:41:34,76
2021-04-28 13:42:04,76
2021-04-28 13:42:34,63
2021-04-28 13:43:04,76
2021-04-28 13:44:04,75
2021-04-28 13:44:34,62
2021-04-28 13:45:04,78
2021-04-28 13:45:34,68
2021-04-28 13:46:04,73
2021-04-28 13:46:34,61
2021-04-28 13:47:04,79
2021-04-28 13:47:34,70
2021-04-28 13:48:04,76
2021-04-28 13:48:34,64
2021-04-28 13:49:04,75
2021-04-28 13:49:34,67
2021-04-28 13:50:04,71
2021-04-28 13:50:34,60
2021-04-28 13:51:04,69
2021-04-28 13:51:34,69
2021-04-28 13:52:04,69
2021-04-28 13:52:34,69
2021-04-28 13:53:04,62
2021-04-28 13:53:34,68
2021-04-28 13:54:04,75
2021-04-28 13:54:34,60
2021-04-28 13:55:04,69
2021-04-28 13:55:34,73
2021-04-28 13:56:04,78
2021-04-28 13:56:34,60
2021-04-28 13:57:04,69
2021-04-28 13:57:35,73
2021-04-28 13:58:05,75
2021-04-28 13:58:35,61
2021-04-28 13:59:05,62
2021-04-28 13:59:35,77
2021-04-28 14:00:05,71
2021-04-28 14:00:35,66
2021-04-28 14:01:05,57
2021-04-28 14:01:35,57
2021-04-28 14:02:05,57
2021-04-28 14:02:35,72
2021-04-28 14:03:05,36
2021-04-28 14:03:35,75
2021-04-28 14:04:05,67
2021-04-28 14:04:35,64
2021-04-28 14:05:05,58
2021-04-28 14:05:35,75
2021-04-28 14:06:05,70
2021-04-28 14:06:35,68
2021-04-28 14:07:05,58
2021-04-28 14:07:35,73
2021-04-28 14:08:05,66
2021-04-28 14:08:35,69
2021-04-28 14:09:05,55
2021-04-28 14:09:35,75
2021-04-28 14:10:05,66
2021-04-28 14:10:35,72
2021-04-28 14:11:05,62
2021-04-28 14:11:35,62
2021-04-28 14:12:05,62
2021-04-28 14:12:35,75
2021-04-28 14:13:05,49
2021-04-28 14:13:35,75
2021-04-28 14:14:05,67
2021-04-28 14:14:35,73
2021-04-28 14:15:05,60
2021-04-28 14:15:35,68
2021-04-28 14:16:05,68
2021-04-28 14:16:35,71
2021-04-28 14:17:05,56
2021-04-28 14:17:36,66
2021-04-28 14:18:06,67
2021-04-28 14:18:36,71
2021-04-28 14:19:06,55
2021-04-28 14:19:36,66
2021-04-28 14:20:06,69
2021-04-28 14:20:36,73
2021-04-28 14:21:06,58
2021-04-28 14:21:36,58
2021-04-28 14:22:06,58
2021-04-28 14:22:36,65
2021-04-28 14:23:06,63
2021-04-28 14:23:36,57
2021-04-28 14:24:06,78
2021-04-28 14:24:36,72
2021-04-28 14:25:06,67
2021-04-28 14:25:36,57
2021-04-28 14:26:06,77
2021-04-28 14:26:36,72
2021-04-28 14:27:06,67
2021-04-28 14:27:36,60
2021-04-28 14:28:06,75
2021-04-28 14:28:36,70
2021-04-28 14:29:06,65
2021-04-28 14:29:36,57
2021-04-28 14:30:06,73
2021-04-28 14:30:36,69
2021-04-28 14:31:06,64
2021-04-28 14:31:36,64
2021-04-28 14:32:06,64
2021-04-28 14:32:36,48
2021-04-28 14:33:06,62
2021-04-28 14:33:36,54
2021-04-28 14:34:06,68
2021-04-28 14:34:36,61
2021-04-28 14:35:06,65
2021-04-28 14:35:36,57
2021-04-28 14:36:07,73
2021-04-28 14:36:37,67
2021-04-28 14:37:07,70
2021-04-28 14:37:37,56
2021-04-28 14:38:07,69
2021-04-28 14:38:37,61
2021-04-28 14:39:07,66
2021-04-28 14:39:37,53
2021-04-28 14:40:07,68
2021-04-28 14:40:37,70
2021-04-28 14:41:07,73
2021-04-28 14:41:37,73
2021-04-28 14:42:07,73
2021-04-28 14:42:37,43
2021-04-28 14:43:07,65
2021-04-28 14:43:37,58
2021-04-28 14:44:07,68
2021-04-28 14:44:37,70
2021-04-28 14:45:07,72
2021-04-28 14:45:37,60
2021-04-28 14:46:07,67
2021-04-28 14:46:37,69
2021-04-28 14:47:07,73
2021-04-28 14:47:37,58
2021-04-28 14:48:07,57
2021-04-28 14:48:37,76
2021-04-28 14:49:07,70
2021-04-28 14:49:37,65
2021-04-28 14:50:07,57
2021-04-28 14:50:37,73
2021-04-28 14:51:07,68
2021-04-28 14:51:37,68
2021-04-28 14:52:07,68
2021-04-28 14:52:37,37
2021-04-28 14:53:08,66
2021-04-28 14:53:38,63
2021-04-28 14:54:08,54
2021-04-28 14:54:38,71
2021-04-28 14:55:08,66
2021-04-28 14:55:38,62
2021-04-28 14:56:08,57
2021-04-28 14:56:38,73
2021-04-28 14:57:08,67
2021-04-28 14:57:38,73
2021-04-28 14:58:08,61
2021-04-28 14:58:38,73
2021-04-28 14:59:08,65
2021-04-28 14:59:38,70
2021-04-28 15:00:08,61
2021-04-28 15:00:38,71
2021-04-28 15:01:08,65
2021-04-28 15:01:38,65
2021-04-28 15:02:08,65
2021-04-28 15:02:38,37
2021-04-28 15:03:08,65
2021-04-28 15:03:38,70
2021-04-28 15:04:08,57
2021-04-28 15:04:38,66
2021-04-28 15:05:08,68
2021-04-28 15:05:38,72
2021-04-28 15:06:08,57
2021-04-28 15:06:38,65
2021-04-28 15:07:08,66
2021-04-28 15:07:38,70
2021-04-28 15:08:08,55
2021-04-28 15:08:38,64
2021-04-28 15:09:08,66
2021-04-28 15:09:38,71
2021-04-28 15:10:08,55
2021-04-28 15:10:38,63
2021-04-28 15:11:08,65
2021-04-28 15:11:39,65
2021-04-28 15:12:09,65
2021-04-28 15:12:39,53
2021-04-28 15:13:09,64
2021-04-28 15:13:39,60
2021-04-28 15:14:09,57
2021-04-28 15:14:39,50
2021-04-28 15:15:09,63
2021-04-28 15:15:39,57
2021-04-28 15:16:09,53
2021-04-28 15:16:39,46
2021-04-28 15:17:09,52
2021-04-28 15:17:39,50
2021-04-28 15:18:09,46
2021-04-28 15:18:39,40
2021-04-28 15:19:09,49
2021-04-28 15:19:39,46
2021-04-28 15:20:09,42
2021-04-28 15:20:39,38
2021-04-28 15:21:09,46
2021-04-28 15:21:39,46
2021-04-28 15:22:09,46
2021-04-28 15:22:39,42
2021-04-28 15:23:09,48
2021-04-28 15:23:39,42
2021-04-28 15:24:09,42
2021-04-28 15:24:39,37
2021-04-28 15:25:09,49
2021-04-28 15:25:39,45
2021-04-28 15:26:09,50
2021-04-28 15:26:39,42
2021-04-28 15:27:09,50
2021-04-28 15:27:39,47
2021-04-28 15:28:09,54
2021-04-28 15:28:39,46
2021-04-28 15:29:09,57
2021-04-28 15:29:40,57
2021-04-28 15:30:10,60
2021-04-28 15:30:40,49
2021-04-28 15:31:10,57
2021-04-28 15:31:40,57
2021-04-28 15:32:10,57
2021-04-28 15:32:40,60
2021-04-28 15:33:10,56
2021-04-28 15:33:40,58
2021-04-28 15:34:10,63
2021-04-28 15:34:40,50
2021-04-28 15:35:10,58
2021-04-28 15:35:40,60
2021-04-28 15:36:10,65
2021-04-28 15:36:40,52
2021-04-28 15:37:10,49
2021-04-28 15:37:40,61
2021-04-28 15:38:10,57
2021-04-28 15:38:40,55
2021-04-28 15:39:10,48
2021-04-28 15:39:40,61
2021-04-28 15:40:10,56
2021-04-28 15:40:40,53
2021-04-28 15:41:10,48
2021-04-28 15:41:40,48
2021-04-28 15:42:10,48
2021-04-28 15:42:40,60
2021-04-28 15:43:10,32
2021-04-28 15:43:40,58
2021-04-28 15:44:10,54
2021-04-28 15:44:40,50
2021-04-28 15:45:10,49
2021-04-28 15:45:40,61
2021-04-28 15:46:10,54
2021-04-28 15:46:40,57
2021-04-28 15:47:11,49
2021-04-28 15:47:41,62
2021-04-28 15:48:11,55
2021-04-28 15:48:41,58
2021-04-28 15:49:11,49
2021-04-28 15:49:41,60
2021-04-28 15:50:11,54
2021-04-28 15:50:41,54
2021-04-28 15:51:11,48
2021-04-28 15:51:41,48
2021-04-28 15:52:11,48
2021-04-28 15:52:41,60
2021-04-28 15:53:11,52
2021-04-28 15:53:41,53
2021-04-28 15:54:11,54
2021-04-28 15:54:41,55
2021-04-28 15:55:11,46
2021-04-28 15:55:41,53
2021-04-28 15:56:11,56
2021-04-28 15:56:41,62
2021-04-28 15:57:11,49
2021-04-28 15:57:41,51
2021-04-28 15:58:11,52
2021-04-28 15:58:41,51
2021-04-28 15:59:11,40
2021-04-28 15:59:41,51
2021-04-28 16:00:11,52
2021-04-28 16:00:41,56
2021-04-28 16:01:11,46
2021-04-28 16:01:41,46
2021-04-28 16:02:11,46
2021-04-28 16:02:41,40
2021-04-28 16:03:11,47
2021-04-28 16:03:41,42
2021-04-28 16:04:12,53
2021-04-28 16:04:42,51
2021-04-28 16:05:12,47
2021-04-28 16:05:42,41
2021-04-28 16:06:12,54
2021-04-28 16:06:42,50
2021-04-28 16:07:12,46
2021-04-28 16:07:42,41
2021-04-28 16:08:12,51
2021-04-28 16:08:42,47
2021-04-28 16:09:12,45
2021-04-28 16:09:42,43
2021-04-28 16:10:12,53
2021-04-28 16:10:42,45
2021-04-28 16:11:12,47
2021-04-28 16:11:42,47
2021-04-28 16:12:12,47
2021-04-28 16:12:42,34
2021-04-28 16:13:12,46
2021-04-28 16:13:42,42
2021-04-28 16:14:12,51
2021-04-28 16:14:42,46
2021-04-28 16:15:12,51
2021-04-28 16:15:42,43
2021-04-28 16:16:12,52
2021-04-28 16:16:42,46
2021-04-28 16:17:12,47
2021-04-28 16:17:42,38
2021-04-28 16:18:12,46
2021-04-28 16:18:42,47
2021-04-28 16:19:12,49
2021-04-28 16:19:42,38
2021-04-28 16:20:12,43
2021-04-28 16:20:42,41
2021-04-28 16:21:12,40
2021-04-28 16:21:42,40
2021-04-28 16:22:13,40
2021-04-28 16:22:43,27
2021-04-28 16:23:13,45
2021-04-28 16:23:43,38
2021-04-28 16:24:13,45
2021-04-28 16:24:43,43
2021-04-28 16:25:13,47
2021-04-28 16:25:43,37
2021-04-28 16:26:13,36
2021-04-28 16:26:43,46
2021-04-28 16:27:13,42
